update,rollout_policy_update,approx_kl_mean,approx_kl_max,clip_fraction_mean,explained_variance_post,rollout_collision_count,rollout_episode_count,actor_step_l2,actor_step_relative_l2
20,19,0.0039527445792919,0.0073198662139475346,0.03625976464445557,0.9379833952439158,42,152,0.021087262201976886,0.00012957042238959283
21,20,0.4431079248370952,3.832719564437866,0.09170409876969643,0.937254497843986,46,152,0.011308550996451753,6.948525263743788e-05
22,21,0.055365539603808425,0.4447918236255646,0.0583837873318771,0.9055608258168838,39,154,0.019630608919915506,0.00012062004760030753
23,22,0.16657694239736884,1.7013685703277588,0.06038085811178462,0.9220472522837951,42,151,0.01571946714658985,9.658809363805504e-05
24,23,0.04340458220278379,0.590450644493103,0.037578123970888555,0.9293733408110859,38,147,0.01336574933283173,8.212569994357819e-05
25,24,0.0474929101204907,0.6626574397087097,0.044570311409188434,0.9408050788775355,38,151,0.015510372137333321,9.530330502594255e-05
26,25,0.05011350625070918,0.732550323009491,0.027871093000612746,0.9080397713490185,39,146,0.01906723504840155,0.00011715840032506129
27,26,0.005775645195681134,0.012264439836144447,0.06397460741573013,0.9119841498938324,43,153,0.014258133671723384,8.760892726723898e-05
28,27,0.121828450501489,1.2778233289718628,0.0256591788293008,0.9411940504066117,30,141,0.02049610731973105,0.00012593807972025758
29,28,0.10309522952418775,1.5729814767837524,0.02351562469266355,0.9395279234486974,37,146,0.01795875343037812,0.00011034732095880316
30,29,0.015088822011312009,0.11299610882997513,0.10962890394148417,0.9059636928899524,29,143,0.014194638376247602,8.721877267467784e-05
