clip,updates,mean_clip_fraction,median_clip_fraction,mean_approx_kl,updates_kl_max_gt_0_5,updates_kl_max_gt_1,largest_kl_max
clip 0.15,29,0.08366379105766476,0.0740087874874007,0.055570133630978395,13,4,3.094435453414917
clip 0.20,29,0.05283388218971407,0.044570311409188434,0.06804283189072081,15,5,3.832719564437866
