gae_lambda,gamma_times_lambda,td_residual_half_life_s,geometric_horizon_s,weight_1s,weight_2s,weight_4s,weight_6s,weight_8s
0.99,0.98901,0.6272350515610913,0.9099181073703321,0.33118318797366136,0.10968230399639753,0.01203020780995816,0.0013195009101516666,0.00014472589995077832
0.995,0.994005,1.1527395991034204,1.6680567139282811,0.5480963338904562,0.30040959122415845,0.09024592249946599,0.027110740687711663,0.00814432652777962
0.9975,0.9965025000000001,1.978368353430495,2.8591851322373687,0.7044322955008794,0.49622485894463825,0.2462391106346261,0.1221899679413205,0.06063369960613164
1.0,0.999,6.928005491785002,9.999999999999991,0.9047921471137089,0.8186488294786356,0.6701859060067401,0.5486469074854967,0.4491491486100751
