window,collision_episodes,mean_collision_time_s,p05_collision_time_s,p25_collision_time_s,median_collision_time_s,p75_collision_time_s,p95_collision_time_s
U1-U30,1327,3.810723436322491,0.9700000000000006,1.9800000000000015,3.4899999999999696,5.699999999999923,7.469999999999885
U10-U30,845,3.7700710059171194,0.9500000000000006,1.9000000000000015,3.3899999999999717,5.709999999999923,7.479999999999885
U20-U30,423,3.6465011820330586,0.9400000000000006,1.8300000000000014,3.1999999999999758,5.319999999999931,7.429999999999886
