window,updates,overall_advantage_second_moment_proxy,overall_advantage_rms_proxy,collision_advantage_second_moment_proxy,collision_advantage_rms_proxy,ordinary_advantage_second_moment_proxy,ordinary_advantage_rms_proxy,collision_to_ordinary_second_moment_ratio,overall_ev_pre_mean,overall_ev_post_mean,collision_ev_pre_mean,collision_ev_post_mean,ordinary_ev_pre_mean,ordinary_ev_post_mean,mean_approx_kl,max_approx_kl,mean_actor_grad_norm
U2-U30,29,0.09634231719061366,0.3103905881153835,0.1562696433457097,0.39530955382549215,0.036414991035517624,0.19082712342724664,4.291354711395946,0.7435231283001278,0.8811870306112541,0.6748172361557434,0.8610018270217364,0.7706238278318768,0.8507595887246666,0.06804283189072081,0.4431079248370952,31.373074993491173
U10-U30,21,0.08653251457948352,0.2941640946469904,0.14335836191720827,0.3786269429361945,0.029706667241758775,0.1723562219409522,4.82579754741686,0.7789409182734576,0.9096386818053872,0.7171161491800383,0.8954297881083465,0.7937044231490918,0.8772674938531173,0.0745101249984717,0.4431079248370952,31.31993034836792
U20-U30,11,0.08403800250116611,0.2898930880534514,0.14347526395095314,0.37878128775185443,0.02460074105137908,0.15684623378130277,5.832152114901845,0.7970391169128924,0.9254303617150286,0.7365570536311121,0.9131333003491572,0.8323931443828133,0.9028347694870749,0.09598202702038346,0.4431079248370952,32.71460879255425
