window,group_type,group,episodes,return_mean,return_std,return_p05,return_p50,return_p95
U1-U30,env_role,collision,2589,-0.5899860206944216,1.1889244265977477,-1.9311130688852853,0.24062673612931354,0.8722659281173921
U1-U30,env_role,ordinary,1942,0.5197650549885297,0.4548275721035709,0.2974984969268261,0.561192416826115,0.9278721484990679
U1-U30,episode_outcome,ego_collision,1327,-1.79091506392651,0.12196298245096288,-1.9437762784949633,-1.8111360650285717,-1.5611102961542047
U1-U30,episode_outcome,follow,1224,0.38368388493451716,0.07241848742394912,0.2589655465382472,0.3933830032587278,0.4870319658250803
U1-U30,episode_outcome,overtake,1980,0.7014268403436851,0.1572422255251018,0.48146052417787694,0.6865985066641536,0.9807191034006464
U10-U30,env_role,collision,1775,-0.5078523866521442,1.1877799029411873,-1.9317584046872665,0.29116232685693844,0.8722659281173921
U10-U30,env_role,ordinary,1360,0.5248569837739306,0.4412774491112165,0.3011161851917062,0.5643458113248485,0.9250775075162576
U10-U30,episode_outcome,ego_collision,845,-1.7952617296848592,0.12196590388152136,-1.9447282381292288,-1.8186490655656231,-1.5640963434931368
U10-U30,episode_outcome,follow,861,0.38416857338926663,0.07228518968519954,0.2595944070006256,0.3916973689980119,0.48782104830957995
U10-U30,episode_outcome,overtake,1429,0.6988065301053444,0.15548528129938108,0.48146052417787694,0.6794656994674941,0.9754116810986764
U20-U30,env_role,collision,925,-0.47637386942999654,1.186253312637023,-1.9342639061608762,0.3137929048875897,0.8644109283165495
U20-U30,env_role,ordinary,711,0.5317735995352788,0.4171114889043069,0.30703446039548876,0.5679455679882267,0.9250775075162576
U20-U30,episode_outcome,ego_collision,423,-1.8038583137526933,0.11868197916363978,-1.9454649204497063,-1.8289915624498587,-1.5782145802319598
U20-U30,episode_outcome,follow,462,0.38430927739079884,0.0712167651097703,0.2598861129733196,0.39688544350631166,0.48370532128333954
U20-U30,episode_outcome,overtake,751,0.6963067651260674,0.15367773610622895,0.48613419249470163,0.6743321854883129,0.9631943927427222
