window,role,advantage_second_moment_proxy,advantage_rms_proxy
U2-U30,collision,0.1562696433457097,0.39530955382549215
U2-U30,ordinary,0.036414991035517624,0.19082712342724664
U10-U30,collision,0.14335836191720827,0.3786269429361945
U10-U30,ordinary,0.029706667241758775,0.1723562219409522
U20-U30,collision,0.14347526395095314,0.37878128775185443
U20-U30,ordinary,0.02460074105137908,0.15684623378130277
