matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
1	overtake	2	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	overtake	3	L2:97a86bb6bc0e5089b0f956aa1b77b4849101881c8f032de3c6ddcbaf93d48cc3	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
1	follow	0	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	follow	1	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	follow	2	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
1	follow	3	L2:e403cf3d8ee7d31aa45fc11d61a3b14a6f074bc3ce0ac8d74af506948d3a8234	L4:454e65e0eb8cde720ef81d148f2339f190daa19ca31c2e439379fc3613c83d2b	Nuerburgring	follow	follow	0	0	0	0	0	0	0	0	0	0	0
2	collision	0	L2:62c1330ca925efee2728895702e6a9ea5680693d110720c0fedcf29ced5041ba	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
2	collision	1	L2:62c1330ca925efee2728895702e6a9ea5680693d110720c0fedcf29ced5041ba	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	overtake	0	0	1	1	0	0	0	0	0	0	0
2	collision	2	L2:62c1330ca925efee2728895702e6a9ea5680693d110720c0fedcf29ced5041ba	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	collision	0	1	1	0	-1	0	0	0	0	0	0
2	collision	3	L2:62c1330ca925efee2728895702e6a9ea5680693d110720c0fedcf29ced5041ba	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	overtake	0	0	1	1	0	0	0	0	0	0	0
2	overtake	0	L2:c58a6a0805f8ce7d4d78e4bc0169dfd5d5a1c2336e098c7afdb1408090b0cdcf	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	collision	0	1	0	0	0	0	1	1	0	1	1
2	overtake	1	L2:c58a6a0805f8ce7d4d78e4bc0169dfd5d5a1c2336e098c7afdb1408090b0cdcf	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
2	overtake	2	L2:c58a6a0805f8ce7d4d78e4bc0169dfd5d5a1c2336e098c7afdb1408090b0cdcf	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
2	overtake	3	L2:c58a6a0805f8ce7d4d78e4bc0169dfd5d5a1c2336e098c7afdb1408090b0cdcf	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
2	follow	0	L2:1df9882108ce191432a9097ecc2efb20eb11011e29ec86e771222e0a7bb755ad	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	follow	follow	0	0	0	0	0	0	0	0	0	0	0
2	follow	1	L2:1df9882108ce191432a9097ecc2efb20eb11011e29ec86e771222e0a7bb755ad	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	follow	follow	0	0	0	0	0	0	0	0	0	0	0
2	follow	2	L2:1df9882108ce191432a9097ecc2efb20eb11011e29ec86e771222e0a7bb755ad	L4:96eb83501113389af268d2577c03d24aa21a9adc96571863090dac55192b3ee2	MoscowRaceway	follow	follow	0	0	0	0	0	0	0	0	0	0	0
