run,run_label,warmup_best_validation_loss,ev_last5,collision_ev_last5,ordinary_ev_last5,value_loss_last5,ev_improved_updates,value_loss_improved_updates,rollout_collision_first5,rollout_collision_last5,rollout_collision_slope,kl_mean_median,kl_mean_p95,kl_mean_max,kl_single_minibatch_max,kl_mean_gt_0_02_updates,kl_mean_gt_0_10_updates,clip_fraction_median,actor_preclip_grad_norm_median,actor_train_seconds_mean,critic_train_seconds_mean,rollout_seconds_mean,total_training_minutes,source_path
independent_gru,independent_gru,0.19256181318227855,0.9106139214738326,0.904166112129644,0.8710267205860254,0.03887486954660019,20,19,0.3130731351130323,0.264216884086611,-0.0036228366153786312,0.03417186810198473,0.15801452986549722,0.4068368784862105,3.495802640914917,13,3,0.08873290743940743,37.50455028563738,17.4271111119499,50.36977969174986,85.84259345134979,53.675049219349845,post-trained/ppo_independent_gru_0721_base/metrics.jsonl
privilege_mlp,privilege_mlp,0.18321504451681275,0.6941691249385341,0.6474351308690476,0.7669410011810964,0.1797227972001647,20,20,0.35407675305122216,0.2992027520750658,-0.0030490242273730917,0.04804031011095503,0.41889741832439537,0.431144766466532,2.662461757659912,13,6,0.08329833812058496,39.90411478281021,17.11710720630008,0.8004415252500621,75.71167930864995,32.463891603883376,post-trained/ppo_privilege_mlp_0721_base/metrics.jsonl
privilege_gru,privilege_gru / bs12800 / clip0.15,0.29815395020017543,0.9122735958612029,0.9054390709118154,0.8610261015859677,0.03736133511121884,20,19,0.3542418833928268,0.25317008226596477,-0.005129674375837428,0.03266876309353393,0.31562452747796493,0.3748586910657468,3.094435453414917,11,5,0.0937890596651414,43.35179224610329,17.38175497864986,51.885766488550324,93.86597722449969,56.5673661738833,post-trained/ppo_privilege_gru_0721_base/metrics.jsonl
batch_25600,privilege_gru / bs25600,0.2608135938644409,0.8717816359395905,0.8551253567528821,0.7880267066199124,0.04932707967800389,20,17,0.34633842759982386,0.299232140408611,-0.0026981278195114997,0.0035962904985353816,0.1868462364036969,0.3109751203257474,1.245259165763855,7,3,0.03458251887059305,26.19664826989174,13.805599356849779,39.74928721585002,93.65483626270016,51.43441768676669,post-trained/ppo_privilege_gru_0721_bs25600/metrics.jsonl
batch_51200,privilege_gru / bs51200,0.2795169949531555,0.8303491095284482,0.8073832991422745,0.7787114432687112,0.10019908744174548,20,17,0.34527720510591653,0.2638165721600112,-0.0051071583387220084,0.017717279224525262,0.10942054254260439,0.15147181893000378,0.5527903437614441,10,2,0.045969238330144435,31.878069192171097,11.863968227900113,33.30076352085034,93.7359513585001,48.89177579931681,post-trained/ppo_privilege_gru_0721_bs51200/metrics.jsonl
clip_010,privilege_gru / clip0.10,0.1696825691263307,0.9286529154301071,0.9157899092832358,0.8803983382498405,0.03954001365095652,20,18,0.3492270672624681,0.27364090194109647,-0.0050144664626284585,0.04605431573095302,0.19931781088989384,0.3433067961258348,2.8735873699188232,13,6,0.1350927713792771,45.001743882894516,50.53725739784994,148.78959291365007,231.76638842180006,155.11482959256668,post-trained/ppo_privilege_gru_0721_clip010/metrics.jsonl
clip_020,privilege_gru / clip0.20,0.1696825691263307,0.9295964181339125,0.9194597018665792,0.9038254222137804,0.0315269801409637,20,20,0.35194127822509985,0.23203418126742625,-0.006904125427587836,0.05913294243247946,0.31526937872600685,0.3249206571443938,4.324038505554199,13,7,0.06097900299937464,27.54387830197811,50.031800629550254,149.36628661435006,230.9124037925506,154.43458648383367,post-trained/ppo_privilege_gru_0721_clip020/metrics.jsonl
