phase,update,critic_variant,rollout_policy_update,checkpoint_update,num_timesteps,total_collected_timesteps,formal_training_timesteps,policy_gradient_loss,value_loss,critic_epoch_value_losses,value_loss_pre_update,value_loss_post_update,explained_variance_pre_update,explained_variance_post_update,collision_value_loss_pre,collision_value_loss_post,ordinary_value_loss_pre,ordinary_value_loss_post,collision_explained_variance_pre,collision_explained_variance_post,ordinary_explained_variance_pre,ordinary_explained_variance_post,value_prediction_post_mean,value_prediction_post_std,return_mean,return_std,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_grad_norm_mean,actor_grad_norm_max,critic_grad_norm_mean,critic_grad_norm_max,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds,ego_collision_count,overtake_count,follow_count,mean_ego_collision_time,episode_count,mean_episode_steps,mean_episode_return,mean_relative_position_m,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,mean_episode_abs_reward_risk,mean_episode_reward_progress,mean_episode_reward_relative,mean_episode_reward_collision,mean_episode_reward_risk,collision_role_episode_count,mean_collision_episode_return,mean_collision_relative_position_m,ordinary_role_episode_count,mean_ordinary_episode_return,mean_ordinary_relative_position_m,actor_checkpoint,critic_checkpoint,run,run_label,rollout_collision_rate,rollout_overtake_rate,privileged_feature_min,privileged_feature_max,privileged_feature_mean,privileged_feature_std,privileged_feature_saturation_low,privileged_feature_saturation_high,privileged_feature_fraction_ge_0_95,privileged_feature_fraction_ge_0_99
formal,1,independent_gru,0,1,204800,204800,102400,0.023108548669842993,0.16435656268149615,"[0.18893792293965816, 0.16477007418870926, 0.17084629461169243, 0.16445439215749502, 0.13277412950992584]",0.17685006146952506,0.14246022316854798,0.2660172175209756,0.6103389777938593,0.30237035937638257,0.16150566191023089,0.051329763562667656,0.12341478442686514,0.2578059336206252,0.6087494124673547,-0.20533907823301933,0.06525581660939472,-0.16837903379941394,0.33310408478726633,0.056803376409461634,0.4852515183808156,0.4068368784862105,3.495802640914917,0.36235839035362005,0.6110156178474426,149.9240264892578,275.40484619140625,2.298550555855036,5.333445072174072,85.06020818300021,17.61821307900027,51.0710506559999,54,66,39,3.556666666666632,159,649.0943396226415,-0.23055848805200252,3.503862829655375,0.3090019532907204,0.43090997908191037,0.08736558703054961,0.04760752061569831,0.3284134787783901,0.12027644987074954,-0.6792452830188679,-3.133682274248001e-06,94,-0.7836086370903732,1.7935366908688255,65,0.5692371120957951,5.977257553439001,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0001.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0001.pt,independent_gru,independent_gru,0.33962264150943394,0.41509433962264153,,,,,,,,
formal,2,independent_gru,1,2,307200,307200,204800,0.0020038439027121047,0.11999006420373917,"[0.14812357258051634, 0.14253415074199438, 0.11462717223912477, 0.09333237074315548, 0.10133305471390486]",0.12005493959174007,0.13633601878320095,0.3841832163336063,0.630513706551772,0.19474648036597267,0.1983272088684741,0.045363398817507526,0.0743448286979278,0.31943688196053666,0.5930662401681788,0.06323858348036637,0.26117116020207976,0.08052018872696863,0.361223179410611,-0.17353874271417,0.44079133317794295,0.04731385777151445,0.6871441006660461,0.09679687209427357,0.23921874165534973,37.06407889723778,96.22772979736328,1.3530735865235328,3.3006927967071533,85.58449860399924,17.489660950000143,50.454592521999984,48,53,52,3.6460416666666298,153,663.40522875817,-0.18984185642930915,2.827967961772089,0.4158048464422634,0.4449670351578674,0.10140390358058654,0.04983580220033547,0.33055434126970573,0.1066305942426854,-0.6274509803921569,0.0004241884504565423,89,-0.674090811107269,2.102697391635767,64,0.48356684616972867,3.836547348367913,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0002.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0002.pt,independent_gru,independent_gru,0.3137254901960784,0.3464052287581699,,,,,,,,
formal,3,independent_gru,2,3,409600,409600,307200,0.003011005495645813,0.1079965341836214,"[0.13841833174228668, 0.12254256941378117, 0.10123851522803307, 0.09914391115307808, 0.07863934338092804]",0.1280544684521082,0.07029419954740306,0.5148629088388923,0.7458447022563388,0.1968664323797883,0.09905730013783812,0.05924250452442806,0.04153109895696801,0.46465586623830324,0.7343707574518535,0.38922526832834536,0.5506796555080808,0.16751232612532874,0.4643647145228917,0.11082732305970466,0.5137480813617697,0.08025706030020956,0.6269772052764893,0.1091796844266355,0.25679686665534973,43.83842870593071,96.50789642333984,1.2714525915682315,3.4481468200683594,84.20009220700013,17.294602752000173,50.094219364999844,47,67,36,3.9070212765957026,150,671.7533333333333,-0.14701349778213538,4.144740238033328,0.3313240224527259,0.43194744198234153,0.09863077814500533,0.0488167551378383,0.34667464557879574,0.13262472693116384,-0.6266666666666667,0.00035379637457168766,85,-0.6196282303667768,2.5135698911572235,65,0.4710211525208572,6.277809153179002,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0003.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0003.pt,independent_gru,independent_gru,0.31333333333333335,0.44666666666666666,,,,,,,,
formal,4,independent_gru,3,4,512000,512000,409600,0.0019135642050427393,0.10512629328295589,"[0.13965282775461674, 0.11710848566144705, 0.10758000239729881, 0.08675694605335593, 0.0745332045480609]",0.12864753063538648,0.06404048897369355,0.6454827008818931,0.8251095473404539,0.1923454111512511,0.09419924386319833,0.0649496501195219,0.03388173408418877,0.6120971290224047,0.8008626397857366,0.44828976166197065,0.7099800512893799,0.12719935147359934,0.5580370430316616,0.0932853253871167,0.5996652440305437,0.08813240552990464,0.7781549096107483,0.06917968524430762,0.14164061844348907,44.76815742254257,92.31417846679688,1.3086430747061968,3.186844825744629,85.54079592899961,17.494581431999904,50.49542484799986,51,58,43,4.170784313725443,152,671.5197368421053,-0.21001125740279428,3.5354378476339225,0.31835674319645985,0.4746431236754085,0.09615809411080183,0.04829630147361669,0.3396035795034111,0.12142287311168329,-0.6710526315789473,1.4921561058728761e-05,86,-0.6902335598801999,2.1932361934572264,66,0.4157329549162495,5.2843672758035565,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0004.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0004.pt,independent_gru,independent_gru,0.3355263157894737,0.3815789473684211,,,,,,,,
formal,5,independent_gru,4,5,614400,614400,512000,0.0023774416248125707,0.11912420019507408,"[0.12154943402856588, 0.10775212151929736, 0.10798290092498064, 0.09867765149101615, 0.15965889301151037]",0.11193561037205267,0.06559870652628126,0.678508106140887,0.8152309772744148,0.1897033528645741,0.09952336257827717,0.03416786787953123,0.031674050474285335,0.5932315016135244,0.7813620350543223,0.5698660747014306,0.6825073990882389,0.09047205208195465,0.49361928686634815,0.1277910264724727,0.5894856380712644,0.032859141761582576,0.3657929599285126,0.09383300541958306,0.16953124105930328,37.94502167403698,91.8788070678711,2.002114852517843,5.502567768096924,87.17513359900022,17.497542858999623,50.503572544000235,40,59,53,3.337749999999969,152,677.3092105263158,-0.06753534412806578,3.2257960503344267,0.40469292567112297,0.42005333105962034,0.07983424152513717,0.03832031545895792,0.3442645261333106,0.11489265028965708,-0.5263157894736842,-0.0003767310773492857,88,-0.5250278186834346,2.514460679828952,64,0.5615168083855664,4.203882184779454,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0005.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0005.pt,independent_gru,independent_gru,0.2631578947368421,0.3881578947368421,,,,,,,,
formal,6,independent_gru,5,6,716800,716800,614400,0.0021170060855365547,0.11972401207312941,"[0.12896084412932396, 0.14761767257004976, 0.1145031051710248, 0.10933417035266757, 0.09820426814258099]",0.11407698547152932,0.06889235005081049,0.724229359089029,0.8403855549452048,0.18287837660995407,0.10622790563699264,0.045275594333104546,0.031556794464628335,0.6667919344400939,0.81026900265505,0.6597125306917002,0.7533063933800545,0.046055689877080114,0.5656208465664486,-0.012916194283182563,0.640179069773162,0.0434197126358049,0.6191878914833069,0.09585937211522833,0.26445311307907104,44.31203952431679,132.19654846191406,2.0636071637272835,3.6160194873809814,84.74216408699976,17.865002295000522,51.66871674599952,63,52,48,3.333015873015841,163,619.6196319018405,-0.3747222229476146,2.34535166280359,0.3414462566211117,0.46987776895407185,0.09868979476945028,0.047966202892260085,0.3024961118625844,0.09649502789065746,-0.7730061349693251,-0.0007072277315313065,98,-0.9114531215864661,0.7887160277645953,65,0.43450282423096154,4.692279235631614,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0006.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0006.pt,independent_gru,independent_gru,0.38650306748466257,0.31901840490797545,,,,,,,,
formal,7,independent_gru,6,7,819200,819200,716800,0.004686943260566956,0.09648737655952573,"[0.1300403317436576, 0.11144768260419369, 0.09281578380614519, 0.07553078141063452, 0.07260230323299766]",0.11720940346307034,0.06031390928805771,0.6947622432117164,0.8442887771239559,0.19530026527064628,0.09679403749295348,0.0391185416554944,0.023833781083161948,0.591780589167666,0.8054933096561427,0.6954032211476072,0.796482102307354,0.13179967949728053,0.5719803197250435,0.10757717975613104,0.619335603167005,0.006597105458204168,0.011895780451595783,0.1333349570631981,0.27828124165534973,68.92954704165459,134.83445739746094,0.9078088410198688,1.9209707975387573,84.41130749500007,17.32628909199957,50.17604857399965,45,57,48,3.990888888888843,150,679.7266666666667,-0.14676040891545947,3.0637964414996777,0.40758382524082304,0.4479146017107646,0.08389091134005258,0.04511131998455564,0.3453680989287328,0.1075696678601151,-0.6,0.0003018242956926434,85,-0.6323829054901292,2.3950140862856792,65,0.4882843942975702,3.9383579829333684,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0007.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0007.pt,independent_gru,independent_gru,0.3,0.38,,,,,,,,
formal,8,independent_gru,7,8,921600,921600,819200,0.0011826700485104702,0.09267736310139299,"[0.1282601347193122, 0.11217872984707355, 0.07844685949385166, 0.08086205273866653, 0.06363903870806098]",0.10149681771389119,0.04878364105244622,0.7511859701816601,0.8829839251639915,0.16295988283390364,0.07190562541069759,0.040033752593878764,0.025661656694194828,0.7076772232402653,0.8762846861042873,0.6570641538906297,0.7725757175128543,0.19698173136072683,0.5809029329762503,0.1641964830481345,0.6385226983915573,0.11836307872086763,0.9183151721954346,0.04995117080397904,0.20960937440395355,32.28532588481903,93.36549377441406,1.3637978974729776,3.328535795211792,86.95941677799965,17.473242863999985,50.30484944,42,61,48,3.900238095238053,151,685.9668874172186,-0.09148552515959377,3.315241227546598,0.36894704269784384,0.44185255508320087,0.0891219840584801,0.04475014759273093,0.346840245734177,0.11797878322061207,-0.5562913907284768,-1.3163385906095407e-05,87,-0.5581108417485394,2.204055213658622,64,0.5428332645785041,4.825759715175566,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0008.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0008.pt,independent_gru,independent_gru,0.2781456953642384,0.40397350993377484,,,,,,,,
formal,9,independent_gru,8,9,1024000,1024000,921600,0.0011793662414367745,0.11555320713669062,"[0.13089637365192175, 0.11836204119026661, 0.12962412647902966, 0.11311309598386288, 0.08577039837837219]",0.11467738116828198,0.07429201913750702,0.7252555819535097,0.8403971871669814,0.19739396870504564,0.12327072681906177,0.03196079363151839,0.025313311455952267,0.6274601121972936,0.795742057991095,0.7408694191801586,0.7919223573452423,0.23115184870157235,0.5653809908849775,0.14238823127253228,0.6450693503638674,0.02964607409900054,0.4105597138404846,0.056855468079447746,0.1763281226158142,34.2260981798172,119.37480163574219,1.4460649617016315,3.4764392375946045,85.07038188999923,17.352071368999532,50.2152792199995,44,54,50,4.319772727272677,148,690.5878378378378,-0.1316589486964042,3.0815714802317884,0.363255916259367,0.42806644886503137,0.08725578682593468,0.047375614311982985,0.35057675577415753,0.11217976271207424,-0.5945945945945946,0.00017912741195859504,83,-0.662321268934377,1.6681588161781196,65,0.5459560140690072,4.886390728177242,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0009.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0009.pt,independent_gru,independent_gru,0.2972972972972973,0.36486486486486486,,,,,,,,
formal,10,independent_gru,9,10,1126400,1126400,1024000,0.0019266801045887405,0.14214332923293113,"[0.14386250264942646, 0.13235054910182953, 0.15290127974003553, 0.16468046233057976, 0.1169218523427844]",0.1330171704095143,0.0803204369808594,0.6769452002757058,0.8125155526754014,0.21484743230020897,0.12985616068321065,0.05118690851881962,0.03078471327850818,0.603284890401061,0.7815652537176654,0.5552933405899592,0.7223187068411312,0.3116783692272304,0.5193707413391061,0.25518904210531446,0.6413976037002785,0.04831887224136153,0.7131489515304565,0.0836328094592318,0.20742186903953552,53.16861754655838,96.93775939941406,1.7608823224902153,4.17881965637207,87.48696040899995,17.407397150999714,50.33167880200017,46,67,36,4.373260869565167,149,688.0335570469799,-0.12373869452365911,4.122454589540295,0.3564641033549753,0.4198844977531121,0.08668105127763574,0.04854202417653383,0.3596977202873634,0.13382568058684183,-0.6174496644295302,0.00018756903166588062,84,-0.6250945625454213,2.185919223141969,65,0.5241673503044645,6.625054139962747,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/actor_u0010.pth,/home/haowei/Documents/End2Race/post-trained/ppo_independent_gru_0721_base/checkpoints/critic_u0010.pt,independent_gru,independent_gru,0.3087248322147651,0.44966442953020136,,,,,,,,
