run,run_label,update,checkpoint_stage,critic_parameter_count,critic_total_l2_norm,critic_delta_l2_from_warmup,critic_relative_l2_from_warmup,privileged_projection_l2,privileged_projection_max_abs,source_path
clip_010,privilege_gru / clip0.10,0,warmup,11309401,162.1222194923985,0.0,0.0,0.22862438542412164,0.015218637883663177,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_warmup.pt
clip_010,privilege_gru / clip0.10,1,u0001,11309401,162.1410943350002,1.8825366666205057,0.011611836258562776,0.2546447775555642,0.018124442547559738,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_u0001.pt
clip_010,privilege_gru / clip0.10,5,u0005,11309401,162.21177043836835,4.432821164723392,0.02734246532401585,0.3952978507588217,0.02983739599585533,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_u0005.pt
clip_010,privilege_gru / clip0.10,10,u0010,11309401,162.2969730164844,6.0990259407577465,0.037619926249798936,0.5706556473375674,0.04171879217028618,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_u0010.pt
clip_010,privilege_gru / clip0.10,15,u0015,11309401,162.3954547110533,7.6478719099350165,0.04717349622945179,0.7328140228222038,0.049954891204833984,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_u0015.pt
clip_010,privilege_gru / clip0.10,20,u0020,11309401,162.5031628114995,9.02118771596054,0.05564436351911356,0.8849829791648482,0.06444647908210754,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/critic_u0020.pt
clip_020,privilege_gru / clip0.20,0,warmup,11309401,162.1222194923985,0.0,0.0,0.22862438542412164,0.015218637883663177,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_warmup.pt
clip_020,privilege_gru / clip0.20,1,u0001,11309401,162.1410943350002,1.8825366666205057,0.011611836258562776,0.2546447775555642,0.018124442547559738,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_u0001.pt
clip_020,privilege_gru / clip0.20,5,u0005,11309401,162.23255916993315,4.993691391589566,0.03080201718940634,0.4364338693108135,0.03758009523153305,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_u0005.pt
clip_020,privilege_gru / clip0.20,10,u0010,11309401,162.32237490566388,6.682372040795109,0.04121811348078928,0.6201038815081047,0.05285462364554405,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_u0010.pt
clip_020,privilege_gru / clip0.20,15,u0015,11309401,162.41175713923786,8.017501760179325,0.04945344188650986,0.7498014913930015,0.07010531425476074,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_u0015.pt
clip_020,privilege_gru / clip0.20,20,u0020,11309401,162.51146117489634,9.376340159480966,0.05783500983910845,0.8967375140829931,0.09351978451013565,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/critic_u0020.pt
