run,update,formal_training_timesteps,policy_gradient_loss,value_loss_pre,value_loss_post,explained_variance_pre,explained_variance_post,collision_value_loss_pre,collision_value_loss_post,ordinary_value_loss_pre,ordinary_value_loss_post,collision_explained_variance_post,ordinary_explained_variance_post,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_grad_norm_mean_preclip,actor_grad_norm_max_preclip,critic_grad_norm_mean_preclip,actor_optimizer_steps_completed,actor_optimizer_steps_planned,actor_early_stop_triggered,training_ego_collision_count,training_episode_count,training_collision_rate,mean_episode_return,mean_relative_position_m,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds
ppo_independent_gru_0721_base,1,102400,0.023108548669842993,0.17685006146952506,0.14246022316854798,0.2660172175209756,0.6103389777938593,0.30237035937638257,0.16150566191023089,0.051329763562667656,0.12341478442686514,0.6087494124673547,0.06525581660939472,0.4068368784862105,3.495802640914917,0.36235839035362005,0.6110156178474426,149.9240264892578,275.40484619140625,2.298550555855036,,,,54,159,0.33962264150943394,-0.23055848805200252,3.503862829655375,0.3090019532907204,0.43090997908191037,0.08736558703054961,85.06020818300021,17.61821307900027,51.0710506559999
ppo_independent_gru_0721_base,2,204800,0.0020038439027121047,0.12005493959174007,0.13633601878320095,0.3841832163336063,0.630513706551772,0.19474648036597267,0.1983272088684741,0.045363398817507526,0.0743448286979278,0.5930662401681788,0.26117116020207976,0.04731385777151445,0.6871441006660461,0.09679687209427357,0.23921874165534973,37.06407889723778,96.22772979736328,1.3530735865235328,,,,48,153,0.3137254901960784,-0.18984185642930915,2.827967961772089,0.4158048464422634,0.4449670351578674,0.10140390358058654,85.58449860399924,17.489660950000143,50.454592521999984
ppo_independent_gru_0721_base,3,307200,0.003011005495645813,0.1280544684521082,0.07029419954740306,0.5148629088388923,0.7458447022563388,0.1968664323797883,0.09905730013783812,0.05924250452442806,0.04153109895696801,0.7343707574518535,0.5506796555080808,0.08025706030020956,0.6269772052764893,0.1091796844266355,0.25679686665534973,43.83842870593071,96.50789642333984,1.2714525915682315,,,,47,150,0.31333333333333335,-0.14701349778213538,4.144740238033328,0.3313240224527259,0.43194744198234153,0.09863077814500533,84.20009220700013,17.294602752000173,50.094219364999844
ppo_independent_gru_0721_base,4,409600,0.0019135642050427393,0.12864753063538648,0.06404048897369355,0.6454827008818931,0.8251095473404539,0.1923454111512511,0.09419924386319833,0.0649496501195219,0.03388173408418877,0.8008626397857366,0.7099800512893799,0.08813240552990464,0.7781549096107483,0.06917968524430762,0.14164061844348907,44.76815742254257,92.31417846679688,1.3086430747061968,,,,51,152,0.3355263157894737,-0.21001125740279428,3.5354378476339225,0.31835674319645985,0.4746431236754085,0.09615809411080183,85.54079592899961,17.494581431999904,50.49542484799986
ppo_independent_gru_0721_base,5,512000,0.0023774416248125707,0.11193561037205267,0.06559870652628126,0.678508106140887,0.8152309772744148,0.1897033528645741,0.09952336257827717,0.03416786787953123,0.031674050474285335,0.7813620350543223,0.6825073990882389,0.032859141761582576,0.3657929599285126,0.09383300541958306,0.16953124105930328,37.94502167403698,91.8788070678711,2.002114852517843,,,,40,152,0.2631578947368421,-0.06753534412806578,3.2257960503344267,0.40469292567112297,0.42005333105962034,0.07983424152513717,87.17513359900022,17.497542858999623,50.503572544000235
ppo_independent_gru_0721_base,6,614400,0.0021170060855365547,0.11407698547152932,0.06889235005081049,0.724229359089029,0.8403855549452048,0.18287837660995407,0.10622790563699264,0.045275594333104546,0.031556794464628335,0.81026900265505,0.7533063933800545,0.0434197126358049,0.6191878914833069,0.09585937211522833,0.26445311307907104,44.31203952431679,132.19654846191406,2.0636071637272835,,,,63,163,0.38650306748466257,-0.3747222229476146,2.34535166280359,0.3414462566211117,0.46987776895407185,0.09868979476945028,84.74216408699976,17.865002295000522,51.66871674599952
ppo_independent_gru_0721_base,7,716800,0.004686943260566956,0.11720940346307034,0.06031390928805771,0.6947622432117164,0.8442887771239559,0.19530026527064628,0.09679403749295348,0.0391185416554944,0.023833781083161948,0.8054933096561427,0.796482102307354,0.006597105458204168,0.011895780451595783,0.1333349570631981,0.27828124165534973,68.92954704165459,134.83445739746094,0.9078088410198688,,,,45,150,0.3,-0.14676040891545947,3.0637964414996777,0.40758382524082304,0.4479146017107646,0.08389091134005258,84.41130749500007,17.32628909199957,50.17604857399965
ppo_independent_gru_0721_base,8,819200,0.0011826700485104702,0.10149681771389119,0.04878364105244622,0.7511859701816601,0.8829839251639915,0.16295988283390364,0.07190562541069759,0.040033752593878764,0.025661656694194828,0.8762846861042873,0.7725757175128543,0.11836307872086763,0.9183151721954346,0.04995117080397904,0.20960937440395355,32.28532588481903,93.36549377441406,1.3637978974729776,,,,42,151,0.2781456953642384,-0.09148552515959377,3.315241227546598,0.36894704269784384,0.44185255508320087,0.0891219840584801,86.95941677799965,17.473242863999985,50.30484944
ppo_independent_gru_0721_base,9,921600,0.0011793662414367745,0.11467738116828198,0.07429201913750702,0.7252555819535097,0.8403971871669814,0.19739396870504564,0.12327072681906177,0.03196079363151839,0.025313311455952267,0.795742057991095,0.7919223573452423,0.02964607409900054,0.4105597138404846,0.056855468079447746,0.1763281226158142,34.2260981798172,119.37480163574219,1.4460649617016315,,,,44,148,0.2972972972972973,-0.1316589486964042,3.0815714802317884,0.363255916259367,0.42806644886503137,0.08725578682593468,85.07038188999923,17.352071368999532,50.2152792199995
ppo_independent_gru_0721_base,10,1024000,0.0019266801045887405,0.1330171704095143,0.0803204369808594,0.6769452002757058,0.8125155526754014,0.21484743230020897,0.12985616068321065,0.05118690851881962,0.03078471327850818,0.7815652537176654,0.7223187068411312,0.04831887224136153,0.7131489515304565,0.0836328094592318,0.20742186903953552,53.16861754655838,96.93775939941406,1.7608823224902153,,,,46,149,0.3087248322147651,-0.12373869452365911,4.122454589540295,0.3564641033549753,0.4198844977531121,0.08668105127763574,87.48696040899995,17.407397150999714,50.33167880200017
ppo_independent_gru_0721_base,11,1126400,0.0018776906764106371,0.12757614684143692,0.10803768617283817,0.7104957567679522,0.8531593490131251,0.22262174875384041,0.16726575397919427,0.032530544929033456,0.04880961836648205,0.8302666000988514,0.7372826947190023,0.03548459444238688,0.4705418646335602,0.06709960871376097,0.21742187440395355,52.56375448405743,150.05023193359375,1.1730002593249083,,,,50,154,0.3246753246753247,-0.21879870758396652,2.5400815248867263,0.40921699833059066,0.4349577975715456,0.08429595246502637,88.2287660789998,17.65325585499977,50.90979270600019
ppo_independent_gru_0721_base,12,1228800,0.003930650983384076,0.1312400151424822,0.056984329491278164,0.7233556262219625,0.8952253017254107,0.21429080523831354,0.0757193280599581,0.04818922504665088,0.038249330922598246,0.8873445226446615,0.8359461469374809,0.007211164594627915,0.02045404352247715,0.12189941116957925,0.2890625,30.996447905898094,106.82354736328125,1.0983805119991303,,,,46,153,0.3006535947712418,-0.14981681161888286,3.1717578233361485,0.39109651534084533,0.4310360707396388,0.09570811092001057,85.29375108000022,17.491761303001113,50.75031873700027
ppo_independent_gru_0721_base,13,1331200,0.004586856970926867,0.12354689181590235,0.070042566437037,0.733311098444302,0.8743796618622148,0.1787464739099183,0.07565927379944837,0.0683473097218864,0.06442585907462563,0.852865404741917,0.8013960607763777,0.007056740153930149,0.017518682405352592,0.16223632404580712,0.3868750035762787,83.46900308132172,188.07073974609375,1.2206089302897454,,,,41,145,0.2827586206896552,-0.11438537077727474,2.7112160491795247,0.3710449713434689,0.4270669939792704,0.07765076370277604,86.33485519299938,17.22377578599844,49.8581476269992
