panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path
ppo_privilege_gru_0721_bs51200_u0005,ppo_privilege_gru_0721_bs51200,5,b6cdba5cfbbd02f14acf5c733e281145ef6317160dfdcd50ccea9919fb795854,11300942,540,0.00022422589737655142,1.0801043478892965e-05,0.0003482401371002197,8.478139237094539e-05,0.001131879578704915,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0005.pth
ppo_privilege_gru_0721_bs51200_u0010,ppo_privilege_gru_0721_bs51200,10,9d8c67229adc99d14ec020c3a8549f2c8af262126c50be487f12f4fc753a8f09,11300942,540,0.00029087056289109006,1.4011341389530682e-05,0.0006283372640609741,0.00011293916032249226,0.0014618676781434322,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0010.pth
ppo_privilege_gru_0721_bs51200_u0015,ppo_privilege_gru_0721_bs51200,15,4f0f5d11242c2d863c1387878b54ba9e02dd4f5a25404e73f385fab1e0da6f59,11300942,540,0.0003395471178422294,1.6356108843162738e-05,0.0008170902729034424,0.0001335079622978663,0.0017027981247386156,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0015.pth
ppo_privilege_gru_0721_bs51200_u0020,ppo_privilege_gru_0721_bs51200,20,74fa5ca45b6baae212fc867fb4599de06acead5ae94db5408da261b01f8fe0e4,11300942,540,0.00037345460908241233,1.7989445096603448e-05,0.0009591151028871536,0.00015248531318134474,0.0018599101493351046,0.0,post-trained/ppo_privilege_gru_0721_bs51200/checkpoints/actor_u0020.pth
ppo_privilege_gru_0721_clip010_u0001,ppo_privilege_gru_0721_clip010,1,b0cf85939fcf3d41b84193432a2e0b38de9f59c97d7e3f99ee792c341c2a54fe,11300942,540,0.000176355326737189,8.495100584317926e-06,0.00040477141737937927,7.550226696892319e-05,0.0008698764901414379,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0001.pth
ppo_privilege_gru_0721_clip010_u0005,ppo_privilege_gru_0721_clip010,5,5d67d3b8bac6f10b69e07e9c89969d4d124bda0a1e7eb2918792e8bcc9dfd2ee,11300942,540,0.0002793519815743542,1.3456487115011726e-05,0.0007863007485866547,0.00011954474569383092,0.0013780412236437845,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0005.pth
ppo_privilege_gru_0721_clip010_u0010,ppo_privilege_gru_0721_clip010,10,07bf11241309bcffecf386703c6e17899a304b5a07275440a4a2e31cf2f9357a,11300942,540,0.0003695537583041497,1.7801539688023757e-05,0.0011987201869487762,0.0001571318673507567,0.0018255075561706934,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0010.pth
ppo_privilege_gru_0721_clip010_u0015,ppo_privilege_gru_0721_clip010,15,239b8bfe0bb432f3caf2dbab724116ea8a72b4f4093ea8d9d03c16def931b9ca,11300942,540,0.0004135740833036272,1.9922014842041706e-05,0.001365814357995987,0.00017744502169351505,0.002039011613627544,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0015.pth
ppo_privilege_gru_0721_clip010_u0020,ppo_privilege_gru_0721_clip010,20,c65b8d40fc3a278baa04bd68d090161eb54a4580de4a591e5216c84ef51e914b,11300942,540,0.0004592228319584451,2.2120931759072657e-05,0.0017164796590805054,0.00020064494394815102,0.0022549847521465918,0.0,post-trained/ppo_privilege_gru_0721_clip010/checkpoints/actor_u0020.pth
ppo_privilege_gru_0721_clip020_u0001,ppo_privilege_gru_0721_clip020,1,fa93f9b72aac661ad5b581a686d366a5e35920d468bf6d5f7e2192e6993fe31c,11300942,540,0.00017684921846912186,8.518891529667625e-06,0.000415608286857605,7.765380502175414e-05,0.0008674270593761606,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0001.pth
ppo_privilege_gru_0721_clip020_u0005,ppo_privilege_gru_0721_clip020,5,4a12c95846556bf549d4fabd3fc4aa914bf9c0fba8fd26bee90a5d557913df9a,11300942,540,0.00031500647986704985,1.5173977337074689e-05,0.000887707807123661,0.0001431580743140591,0.0015324288245013031,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0005.pth
ppo_privilege_gru_0721_clip020_u0010,ppo_privilege_gru_0721_clip020,10,a0683ce93830a259ef6416a00b4a780c79dfcdd20b46408b0c493dbb88754da4,11300942,540,0.000445724627223394,2.1470718300519975e-05,0.0012498162686824799,0.00019641099261564568,0.0021844517570212565,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0010.pth
ppo_privilege_gru_0721_clip020_u0015,ppo_privilege_gru_0721_clip020,15,29d8da4937bc4c2accde7538bdae795004f3880355b0fb856eecb7298b0bc4c7,11300942,540,0.0005689702425402823,2.7407504662824605e-05,0.0017271451652050018,0.0002440523605004985,0.0028053125171964973,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0015.pth
ppo_privilege_gru_0721_clip020_u0020,ppo_privilege_gru_0721_clip020,20,ef62da0bbef209ebcdcd56c34d0eb73041b72e0edff2ec408b4736278c054c47,11300942,540,0.0006799328976630687,3.2752616340544466e-05,0.0018580090254545212,0.0002832856138536338,0.0033728369391665108,0.0,post-trained/ppo_privilege_gru_0721_clip020/checkpoints/actor_u0020.pth
ppo_privilege_gru_0722_clip015_tkl002_u0001,ppo_privilege_gru_0722_clip015_tkl002,1,21a780cbb51b262451663ee7fdcc31796c1e7920bfa2e1a47a2016c471dc05ba,11300942,540,0.00012099938692624657,5.828584719253103e-06,0.0001460239291191101,4.87536382471838e-05,0.0006041255061550086,0.0,post-trained/ppo_privilege_gru_0722_clip015_tkl002/checkpoints/actor_u0001.pth
