scenario_id,map_name,ego_raceline,opponent_raceline,ego_start_index,opponent_start_index,interval_index,opponent_speed_scale,simulation_duration_s,outcome,ego_collision,opponent_collision,opponent_only_collision,collision_step,steps,elapsed_time_s,final_ego_progress_m,final_opp_progress_m,final_relative_progress_m,ego_distance_m,ego_mean_measured_speed_mps,ego_speed_variance,ego_min_measured_speed_mps,ego_mean_desired_speed_mps,ego_max_abs_steer_rad,ego_max_steer_delta_rad,ego_min_lidar_m,trace_path,video_path
map-Austin__er-raceline1__or-raceline1__e-0000__o-0015__d-15__s-0p5__T-8,Austin,raceline1,raceline1,0,15,15,0.5,8.0,follow,False,False,False,,800,7.999999999999874,28.984461754002695,31.04421937519197,-2.059757621189277,28.82244422934125,3.6048098264943977,0.3368008972807084,0.038009263658523564,3.754775285720825,0.5199999809265137,0.1877167969942093,0.6276624202728271,traces/map-Austin__er-raceline1__or-raceline1__e-0000__o-0015__d-15__s-0p5__T-8.npz,
map-Austin__er-raceline1__or-raceline1__e-0100__o-0115__d-15__s-0p5__T-8,Austin,raceline1,raceline1,100,115,15,0.5,8.0,follow,False,False,False,,800,7.999999999999874,47.51118780239979,48.84077506176442,-1.3295872593646294,27.300560615569783,3.4148177203536,0.5146610796178872,0.06573730271816253,3.61128306388855,0.2733273208141327,0.0932663306593895,0.6996650695800781,traces/map-Austin__er-raceline1__or-raceline1__e-0100__o-0115__d-15__s-0p5__T-8.npz,
