iteration	probe_group	standardized_update_norm	b4_global_direction_norm	cosine_with_b4_global_direction	inner_with_b4_global_direction	cosine_with_preupdate_bc_displacement	first_order_bc_displacement_increase	mean_signed_steer_update	mean_signed_speed_update
1	bc_collision	0.0819215811315108	0.6853520120560324	0.14891063010599861	0.008360605264970428	NA	0.0	0.0012829093835383294	0.0020897916207710905
1	bc_overtake	0.07204721781221349	0.6345194701401541	0.1959349851667503	0.008957238867702461	NA	0.0	0.0014319704743726816	-0.000616539487538979
1	bc_follow	0.05901744106237763	0.5837761473294987	0.12811269174778483	0.00441386328508398	NA	0.0	0.001144981611843801	-0.00025748265668367734
1	safe_reference	0.07181600886078499	0.5627547638888225	0.14457440846636674	0.0058429459637480115	NA	0.0	0.0014265929631959156	-0.0002623827600114503
2	bc_collision	0.08199949725279602	0.6853520120560324	-0.3233447868464918	-0.018171498609457645	-0.10274493815503057	-0.0006901920468902048	-0.0003313199767944752	0.002743783096472422
2	bc_overtake	0.06677853127728228	0.6345194701401541	-0.5363900760967623	-0.02272806957250367	-0.31903337160613854	-0.0015349357145263945	-0.0006400987868902221	0.0048619689997176675
2	bc_follow	0.06026741472430034	0.5837761473294987	-0.29010789285842464	-0.010206772921229205	0.0065333610202483895	2.323804530790322e-05	0.00016996994805268541	0.001574554377131992
2	safe_reference	0.047790282865655724	0.5627547638888225	-0.35151730928637864	-0.009453780106181678	-0.12070936018897888	-0.00041428748566679123	-0.00014993309671441923	0.0029783339522192987
3	bc_collision	0.10624266637664598	0.6853520120560324	-0.08060379589700738	-0.0058690545815168966	-0.0023433844543353	-2.733507876974666e-05	-0.0017792318357502759	0.0010764546071489651
3	bc_overtake	0.10371228691287908	0.6345194701401541	-0.1412642264143595	-0.009296240683401305	-0.3356116015167591	-0.002823515019664081	-0.0026900987869919323	-0.00042784961256367416
3	bc_follow	0.09847290462063206	0.5837761473294987	-0.01761862252772982	-0.001012826475717248	-0.4413781114053271	-0.0036782011250335116	-0.002598518876502023	-0.0013780631124973297
3	safe_reference	0.10972736414624774	0.5627547638888225	0.037416219394324796	0.002310436465206247	-0.44246657807349654	-0.003948122186983193	-0.0028711768787177882	-0.002461174363444807
4	bc_collision	0.07620249350008261	0.6853520120560324	0.5000735600326046	0.02611660783383883	0.07501946054301681	0.0008723779376519749	0.0012037725687150669	-0.00127666350454092
4	bc_overtake	0.06985467892853696	0.6345194701401541	0.2830784629219526	0.012547213345159451	-0.4098536331295329	-0.003095440487645383	0.0013459487831052725	-0.0007286601705335037
4	bc_follow	0.06785479784988319	0.5837761473294987	0.3426432888562096	0.013572790229778168	-0.2336966980938968	-0.001545771754796176	0.0014123151911015655	-0.002554480718751239
4	safe_reference	0.08217892479566738	0.5627547638888225	0.3004438996259796	0.013894503266202111	-0.37338509178468493	-0.003182419807310455	0.0018402965699474256	-0.0033410107658783
5	bc_collision	0.072000690274116	0.6853520120560324	-0.20598522513103584	-0.01016450941945633	-0.37880719476743996	-0.004789670613008239	-0.0013259853941841961	-0.0032615411716202898
5	bc_overtake	0.057988083442732485	0.6345194701401541	-0.13680562680516667	-0.005033703935601128	-0.06994248803459062	-0.0004131835935496141	-0.0011620075919546512	-0.00022301399176232297
5	bc_follow	0.054636162202643064	0.5837761473294987	0.020621471698888557	0.0006577277845017039	-0.1559308958207823	-0.0008941355417993715	-0.0011917592555930135	-0.0016662739058080902
5	safe_reference	0.05622766924228441	0.5627547638888225	-0.0438735746814681	-0.0013882647049781593	-0.09269602454915106	-0.0005502452730565373	-0.0012418134369097393	-0.0012272539642754563
6	bc_collision	0.09800423541715936	0.6853520120560324	-0.555488434262505	-0.03731071382235633	0.3001936113147403	0.004784192081888188	-0.0014474760068878822	0.006557833092908064
6	bc_overtake	0.06500685279732704	0.6345194701401541	-0.5349158500781231	-0.02206426985340164	0.2937154086661102	0.0021698295652738736	-0.0006426411056953206	0.004648247341576375
6	bc_follow	0.07919518600119188	0.5837761473294987	-0.669850235241991	-0.030968690619132027	0.04279037126388276	0.00037448484407840186	-0.0012812763348365556	0.008120917898212744
6	safe_reference	0.07014755835400326	0.5627547638888225	-0.5521238740616451	-0.02179557173334501	-0.016844163177772074	-0.00013578535581733946	-0.0007221549935213338	0.007168773015247154
7	bc_collision	0.10523907409999891	0.6853520120560324	0.0030395770837515577	0.00021923196281381768	-0.3560857756596597	-0.008003782827083358	0.001985095031614037	0.006185910198837518
7	bc_overtake	0.1045336582898543	0.6345194701401541	-0.21254626024604734	-0.014097904691626065	-0.26566302226226457	-0.004070103708536276	0.0023130491383720345	0.009650703911718569
7	bc_follow	0.07141076816787267	0.5837761473294987	-0.1749027170768541	-0.007291327524728896	-0.3234789640421714	-0.003203531549989719	0.0010801753519250564	0.00454076056360689
7	safe_reference	0.08758576538785276	0.5627547638888225	-0.25565695395294163	-0.01260115401870806	-0.29430820966847315	-0.0034444594314298332	0.001618336172575258	0.006974600062481176
8	bc_collision	0.04932783522367719	0.6853520120560324	0.057597742106342706	0.0019472029001093873	-0.1359054978709156	-0.0013522125209488698	-0.0002987373603294448	-0.0004066267671684424
8	bc_overtake	0.041740325947371336	0.6345194701401541	-0.22664445545307726	-0.006002689622391984	0.017172674063184564	0.00011166150153838226	-0.0006420801093862957	0.0008788045103612698
8	bc_follow	0.0343911295467513	0.5837761473294987	0.1571379252749636	0.003154814301409951	0.016970869494529882	7.814133250456419e-05	-0.0002079870920659652	-0.0017877696161596186
8	safe_reference	0.04165442684810696	0.5627547638888225	0.06373304093610833	0.0014939806892778395	-0.0871219227963196	-0.0004954338614811038	-0.0004605197524839734	-0.0013047064609183802
9	bc_collision	0.06804590055341564	0.6853520120560324	0.3798846392472417	0.017716070151194457	-0.19591703685992354	-0.0026800183688432057	0.0007264071121729405	-0.0031505886775751906
9	bc_overtake	0.05477006261321907	0.6345194701401541	0.21732946790404417	0.007552779520337753	-0.18145335320006842	-0.0016096455446149315	0.0005732671098692727	-0.0021833777100893487
9	bc_follow	0.0530415206163599	0.5837761473294987	0.10212348571864846	0.0031621898625438	-0.2223673055236304	-0.001637047001639811	0.00030947787050753797	-0.001301144353217549
9	safe_reference	0.049625397336317816	0.5627547638888225	0.1784221445273739	0.0049827825195809285	-0.2690202800991838	-0.0018586102735003015	0.0005109377448303456	-0.0016746774371643638
10	bc_collision	0.04106034758903875	0.6853520120560324	0.22226977113316065	0.006254847360864244	-0.023543918296871344	-0.00019257852718387132	0.00017044471352771023	-0.00446122403567036
10	bc_overtake	0.033252510881516525	0.6345194701401541	0.4445021448730135	0.009378713258156621	-0.044457550720403895	-0.00023843342077244838	0.0005817576806219338	-0.0029535127248157536
10	bc_follow	0.030972870439673346	0.5837761473294987	0.44788217734390495	0.008098257515983085	-0.021418328909295722	-9.096728202455982e-05	0.0003899752957186449	-0.003551469908820259
10	safe_reference	0.032061023668897376	0.5627547638888225	0.3510186609064668	0.006333252014782647	0.02558062368189981	0.0001104223557429702	0.0005222554522181517	-0.0026584103001228137
11	bc_collision	0.008385485819520344	0.6853520120560324	0.11871610772415367	0.0006822626082100517	0.18227245721308402	0.0003094279050951667	0.00014863037881696073	0.0005049818816284338
11	bc_overtake	0.007146441541480531	0.6345194701401541	-0.1471552949846758	-0.0006672839699934732	0.3149753593944691	0.00036740968876798933	0.00013826828937815353	0.0005878820928216677
11	bc_follow	0.006350177809784984	0.5837761473294987	-0.23090224417985986	-0.000855973630892824	0.11366308308883467	0.00010099976085494495	9.137487659167647e-05	0.00048095037221399135
11	safe_reference	0.0065083957555944205	0.5627547638888225	-0.37802259119724346	-0.0013845571541386127	0.2625390248756861	0.00023784952990741143	8.645375707355097e-05	0.0006854660604404897
12	bc_collision	0.0	0.6853520120560324	NA	0.0	NA	0.0	0.0	0.0
12	bc_overtake	0.0	0.6345194701401541	NA	0.0	NA	0.0	0.0	0.0
12	bc_follow	0.0	0.5837761473294987	NA	0.0	NA	0.0	0.0	0.0
12	safe_reference	0.0	0.5627547638888225	NA	0.0	NA	0.0	0.0	0.0
13	bc_collision	0.10457223831359888	0.6853520120560324	0.36309350647404814	0.026022473694054332	-0.2658037979885561	-0.005674254943262793	0.0006890034122382833	-0.0005773524753749371
13	bc_overtake	0.07057388929186113	0.6345194701401541	0.5266032196605914	0.02358155907955671	-0.38701753399273103	-0.0045234692851203115	7.643193665691732e-05	-0.006317190096130845
