iteration	raw_mean_b4_global_cosine	corrected_mean_b4_global_cosine	corrected_minus_raw_b4_cosine	raw_safe_cap_alignment_cosine	corrected_safe_cap_alignment_cosine	corrected_minus_raw_cap_cosine	raw_safe_cap_first_order_increase	corrected_safe_cap_first_order_increase	collision_component_functional_norm_ratio	raw_max_abs_preupdate_ratio_minus_one	corrected_max_abs_preupdate_ratio_minus_one	raw_candidate_mean_b4_global_cosine	corrected_candidate_mean_b4_global_cosine	corrected_minus_raw_candidate_b4_cosine	raw_candidate_safe_cap_alignment_cosine	corrected_candidate_safe_cap_alignment_cosine	corrected_minus_raw_candidate_cap_cosine	raw_candidate_post_d_safe	corrected_candidate_post_d_safe	raw_candidate_safe_cap_pass	corrected_candidate_safe_cap_pass
1	-0.15824498126783487	-0.21853644613918943	-0.06029146487135456	NA	NA	NA	0.0	0.0	0.14799015778137428	2.5510787963867188e-05	2.5510787963867188e-05	0.4713268745301228	-0.20328278727356486	-0.6746096618036876	NA	NA	NA	0.0032742382696092512	0.0027418381398861633	True	True
2	0.257811908753222	0.2672257358057234	0.009413827052501378	0.6625301034410747	0.6634716049451014	0.0009415015040267205	172.23115196235028	240.1992919784562	0.09539762867452312	2.5272369384765625e-05	2.5272369384765625e-05	-0.3059960334466728	-0.5074737272791524	-0.2014776938324796	-0.6235304478784577	-0.6127167336604159	0.010813714218041781	0.0023102389135801916	0.006363961300770047	True	True
3	-0.2724914571419878	-0.32659036845347744	-0.05409891131148964	-0.4548409681086862	-0.44369292674300265	0.011148041365683536	-416.04953655635234	-84.12388629833933	0.2862261992778959	2.396106719970703e-05	2.396106719970703e-05	-0.05051788865344649	0.2721709658254476	0.32268885447889406	-0.4424666981798066	-0.3991064019015613	0.04336029627824528	0.005378388484451486	0.003919848960234128	True	True
4	0.29016483705955026	0.3007759853131226	0.010611148253572344	-0.5748830198137018	-0.5788550631741621	-0.003972043360460309	-136.55108126244227	-61.187022494028255	0.30850358836313313	3.62396240234375e-05	3.62396240234375e-05	-0.5385513207921901	0.11619491745477813	0.6547462382469683	0.018661177078365253	-0.21511283791698965	-0.2337740149953549	0.008726627731642234	0.005690727640312028	True	True
5	-0.203463932194424	-0.15297174407998385	0.050492188114440145	-0.003353710432822639	0.0033874465980414	0.006741157030864039	-0.1870010204610408	0.31863156400026293	0.25800927356015085	2.8789043426513672e-05	2.8789043426513672e-05	0.5537196332654151	0.727479982159305	0.17376034889388992	0.09889258449268938	0.09326112026814994	-0.005631464224539445	0.010966403142649577	0.011631756156453493	False	False
6	-0.2390889199415839	-0.2075870555562588	0.031501864385325096	0.33942706676148143	0.3417809139677766	0.0023538472062951676	244.6464766264554	103.93007362252186	0.09335711426123731	2.8133392333984375e-05	2.8133392333984375e-05	0.12109997311163988	0.19678995897710533	0.07568998586546545	-0.0055036355203979415	0.34076586131525405	0.346269496835652	0.007530901116045225	0.01724087583096247	True	False
7	0.23435434159723875	0.20197148086140973	-0.03238286073582902	-0.4226858786083612	-0.41130939606240136	0.011376482545959854	-239.37247322215083	-65.82328409107141	0.20819968912060252	2.4199485778808594e-05	2.4199485778808594e-05	0.031559872964922644	-0.6021729705215426	-0.6337328434864653	-0.271498389732771	0.2728699518679849	0.5443683416007559	0.008765025596331882	0.012072613481395648	True	False
8	0.43069306711661887	-0.24414018263131343	-0.6748332497479324	-0.3192345115821619	-0.024138364051375722	0.29509614753078617	-9.493325003830009	-13.011440994651903	0.13304726832841854	2.956390380859375e-05	2.956390380859375e-05	-0.2168606331522501	-0.16955678276620909	0.04730385038604101	-0.15613667871235007	-0.1539665331605032	0.002170145551846858	0.009831892173915965	0.009583216681169206	True	True
9	0.22300368982011767	0.018181475598196998	-0.20482221422192068	-0.09780017758481158	-0.029198347053876927	0.06860183053093465	-32.82625137668437	-1.096601822453577	0.21234062588726826	3.4332275390625e-05	3.4332275390625e-05	0.05595306536585607	0.23222634236568684	0.17627327699983078	-0.01810230511073677	-0.09032120702461378	-0.07221890191387702	0.016177428485991102	0.013683643201341258	False	False
10	0.27004012690241525	0.2129186627321698	-0.05712146417024544	-0.15463119191312502	0.0310240127937076	0.1856552047068326	-7.108521930420715	5.740376005385459	0.1821623078432424	3.159046173095703e-05	3.159046173095703e-05	-0.7651670778910515	-0.8400169255677248	-0.07484984767667324	0.29879356271312957	0.33520714073329033	0.036413578020160764	0.018942320632398153	0.02054247188568648	False	False
