iteration	objective	gradient_component	probe_group	parameter_gradient_l2	functional_direction_norm	cosine_with_b4_global_direction	inner_with_b4_global_direction	cosine_with_actual_b5_update	cosine_with_preupdate_bc_displacement	first_order_bc_displacement_increase
1	b5_original	collision	bc_collision	1.5344772414364123	340.9025006604221	-0.27085469479919355	-63.282007347522686	-0.5041098274501963	NA	0.0
1	b5_original	collision	bc_overtake	1.5344772414364123	448.9166761405035	-0.1494386220258618	-42.56704924329967	-0.6413045099475421	NA	0.0
1	b5_original	collision	bc_follow	1.5344772414364123	359.3075494757907	-0.05510461298344338	-11.55847784651824	-0.6259408850522855	NA	0.0
1	b5_original	collision	safe_reference	1.5344772414364123	441.0992084568157	-0.014193749849313828	-3.5233241897139997	-0.64622567142628	NA	0.0
1	b5_original	overtake	bc_collision	1.266555689520765	563.5359146860228	-0.3448342543258235	-133.1820488109088	-0.5036230071272436	NA	0.0
1	b5_original	overtake	bc_overtake	1.266555689520765	708.1246311991232	-0.2065990843804398	-92.82886626534861	-0.6477938004904256	NA	0.0
1	b5_original	overtake	bc_follow	1.266555689520765	568.668444331286	-0.11456767074250337	-38.033610920000676	-0.6250271028523214	NA	0.0
1	b5_original	overtake	safe_reference	1.266555689520765	668.6877936771268	-0.0722722842316777	-27.19658391223177	-0.6558845909528654	NA	0.0
1	b5_original	follow	bc_collision	0.05279709653064599	26.70103938786575	0.39615896831238184	7.249555041399418	0.4983086198864602	NA	0.0
1	b5_original	follow	bc_overtake	0.05279709653064599	33.274442198854615	0.26881311479902026	5.675526945693916	0.6555984556993284	NA	0.0
1	b5_original	follow	bc_follow	0.05279709653064599	26.951890833023977	0.17884859202676054	2.8139806743625124	0.6310185697526158	NA	0.0
1	b5_original	follow	safe_reference	0.05279709653064599	31.444988477378516	0.1381525045398683	2.444721447557452	0.6644828648231281	NA	0.0
1	b5_original	all	bc_collision	2.4763461002968565	875.9226695634412	-0.31519182973556187	-189.2144979946287	-0.5050178519879158	NA	0.0
1	b5_original	all	bc_overtake	2.4763461002968565	1122.5693697552015	-0.1821168345850742	-129.72038650254953	-0.6456584084351886	NA	0.0
1	b5_original	all	bc_follow	2.4763461002968565	900.0329942852253	-0.08903030713981676	-46.77810756526141	-0.6259007502617892	NA	0.0
1	b5_original	all	safe_reference	2.4763461002968565	1077.2558692161701	-0.04664095361088669	-28.275185993765326	-0.6523399017817373	NA	0.0
1	opened_austin_prevalence	collision	bc_collision	0.267518798070288	56.472705188639615	0.47969460517437845	18.56594751684085	0.4781054282348554	NA	0.0
1	opened_austin_prevalence	collision	bc_overtake	0.267518798070288	66.25682311062373	0.3543349470427485	14.896682070285815	0.6515940953999506	NA	0.0
1	opened_austin_prevalence	collision	bc_follow	0.267518798070288	53.41470713301798	0.26545800912581297	8.277573211116508	0.6152361319453027	NA	0.0
1	opened_austin_prevalence	collision	safe_reference	0.267518798070288	59.1935515569675	0.23882238734210567	7.9555207623847455	0.6652333862766311	NA	0.0
1	opened_austin_prevalence	overtake	bc_collision	4.5810067809265975	2329.29589770285	-0.37132946055129257	-592.785757539744	-0.5020669356636467	NA	0.0
1	opened_austin_prevalence	overtake	bc_overtake	4.5810067809265975	2907.9202180210445	-0.24063154678304505	-443.9969662039879	-0.6515204997812691	NA	0.0
1	opened_austin_prevalence	overtake	bc_follow	4.5810067809265975	2350.883450727615	-0.148581017989342	-203.91105628020298	-0.6280263159820709	NA	0.0
1	opened_austin_prevalence	overtake	safe_reference	4.5810067809265975	2744.248349050277	-0.10773856486140335	-166.38484938947312	-0.6596665925560065	NA	0.0
1	opened_austin_prevalence	follow	bc_collision	0.5755125162409982	190.09558470171027	0.3307919168941599	43.09636200804143	0.512670070031569	NA	0.0
1	opened_austin_prevalence	follow	bc_overtake	0.5755125162409982	224.37519797720873	0.18517009170852833	26.362745900599172	0.6331724302154391	NA	0.0
1	opened_austin_prevalence	follow	bc_follow	0.5755125162409982	190.93265971201907	0.08775344597271852	9.781168670429974	0.6179100548979967	NA	0.0
1	opened_austin_prevalence	follow	safe_reference	0.5755125162409982	209.72162879729754	0.05056698876913715	5.968009345832708	0.6442007003678252	NA	0.0
1	opened_austin_prevalence	all	bc_collision	4.178797858145736	2085.601810883465	-0.37157833438823906	-531.123443081714	-0.5010574004175978	NA	0.0
1	opened_austin_prevalence	all	bc_overtake	4.178797858145736	2620.0944361024904	-0.24224800518293768	-402.7375347098265	-0.6523920862117807	NA	0.0
1	opened_austin_prevalence	all	bc_follow	4.178797858145736	2108.4997060343653	-0.1509899635494733	-185.85231330514642	-0.6286815178863638	NA	0.0
1	opened_austin_prevalence	all	safe_reference	4.178797858145736	2478.0108361799475	-0.10932948143610767	-152.46131787931427	-0.6601297195647342	NA	0.0
2	b5_original	collision	bc_collision	0.8843250749691505	336.27870208981494	0.3272855283472801	75.4292617381228	-0.1166220383691337	0.5045461003818773	13.899479657002523
2	b5_original	collision	bc_overtake	0.8843250749691505	407.79894522315516	0.19085873632883454	49.38591391866663	-0.25314360364482974	0.6375860498126961	18.732775097245103
2	b5_original	collision	bc_follow	0.8843250749691505	340.0530857389502	0.0975192644985512	19.35902511694227	0.08786212695016471	0.6203868740298144	12.450583225576839
2	b5_original	collision	safe_reference	0.8843250749691505	383.6720028911158	0.057748024751930783	12.468563554994532	-0.16088956895680787	0.6488130666285715	17.877260258335426
2	b5_original	overtake	bc_collision	5.839183842996606	2855.3539874043063	0.4177035475207988	817.4135124106048	-0.15922983929080636	0.4949553282353108	115.77753170157045
2	b5_original	overtake	bc_overtake	5.839183842996606	3529.407865530206	0.29343714281899086	657.1460282920132	-0.3110288068818819	0.6572667084942337	167.13241903139294
2	b5_original	overtake	bc_follow	5.839183842996606	2856.8535334538587	0.2020211985690007	336.9234699353168	0.05925438105054279	0.628790766925284	106.01675481462956
2	b5_original	overtake	safe_reference	5.839183842996606	3333.4238559499677	0.16286959519326671	305.527098867265	-0.21737770837143386	0.663531110473079	158.84483396166308
2	b5_original	follow	bc_collision	0.16951067121119362	80.43438223689452	-0.44046190076290725	-24.280843589422297	0.17458013548294157	-0.4941250024434295	-3.255943694542048
2	b5_original	follow	bc_overtake	0.16951067121119362	99.69332734470602	-0.3176604699232463	-20.094361828000388	0.3301202289740646	-0.6599096360520366	-4.7398846834340125
2	b5_original	follow	bc_follow	0.16951067121119362	80.36623909153029	-0.22947409389002377	-10.765982134398431	-0.04540268243620146	-0.6312710045833969	-2.9941245479314746
2	b5_original	follow	safe_reference	0.16951067121119362	94.11530760286676	-0.18800161069000224	-9.957286797498412	0.23010882396179275	-0.6644403427164908	-4.49094281794171
2	b5_original	all	bc_collision	6.218821108790688	3107.734640834464	0.40779619625420216	868.5619331188391	-0.15439954613842521	0.49656625061624493	126.42106766273135
2	b5_original	all	bc_overtake	6.218821108790688	3834.003352901911	0.28216530488368485	686.4375822504442	-0.3046602524521322	0.6557064229875172	181.12530961127345
