iteration	objective	probe_group	candidate_epoch_standardized_update_norm	cosine_with_b4_global_direction	inner_with_b4_global_direction	cosine_with_actual_b5_update	cosine_with_preupdate_bc_displacement	first_order_bc_displacement_increase	post_candidate_d_safe	safe_cap_pass	trust_weighted_rollout_kl	trust_weighted_clip_fraction	optimizer_steps	historical_base_attempt_d_safe_error
1	b5_original	bc_collision	0.10074314506009895	0.5189391307630496	0.0358299017230082	0.22747638024729092	NA	0.0	0.0032742382696092512	True	0.004015142098069191	0.1986655592918396	12	1.714467152361815e-08
1	b5_original	bc_overtake	0.09488013179494369	0.4817844245389006	0.029005007887310454	0.011903622589077857	NA	0.0	0.0032742382696092512	True	0.004015142098069191	0.1986655592918396	12	1.714467152361815e-08
1	b5_original	bc_follow	0.07013758078530846	0.4547525514353955	0.018619682551653142	0.18324923200258422	NA	0.0	0.0032742382696092512	True	0.004015142098069191	0.1986655592918396	12	1.714467152361815e-08
1	b5_original	safe_reference	0.080922462476031	0.4298313913831455	0.019574307191200034	0.06456185162243547	NA	0.0	0.0032742382696092512	True	0.004015142098069191	0.1986655592918396	12	1.714467152361815e-08
1	opened_austin_prevalence	bc_collision	0.10003775565058826	-0.15791980390289462	-0.01082715185364056	0.09589814515275266	NA	0.0	0.0027418381398861633	True	0.005535701289772987	0.18997043371200562	12	NA
1	opened_austin_prevalence	bc_overtake	0.07978133501383901	0.015822369338116506	0.000800972803399567	0.3447894745428427	NA	0.0	0.0027418381398861633	True	0.005535701289772987	0.18997043371200562	12	NA
1	opened_austin_prevalence	bc_follow	0.07629758711288698	-0.38338893708310107	-0.017076416021771793	0.1996670399096647	NA	0.0	0.0027418381398861633	True	0.005535701289772987	0.18997043371200562	12	NA
1	opened_austin_prevalence	safe_reference	0.07405188247901401	-0.28764477744638034	-0.011987035089209865	0.040692457079174855	NA	0.0	0.0027418381398861633	True	0.005535701289772987	0.18997043371200562	12	NA
2	b5_original	bc_collision	0.07674200796909561	-0.39498855870838423	-0.020774537622436105	0.41080183747010746	-0.3137567501249443	-0.0019725342926663492	0.0023102389135801916	True	0.004037658683955669	0.19804859161376953	12	1.6769533201302367e-08
2	b5_original	bc_overtake	0.08151084789669795	-0.3150646996625785	-0.01629521558648121	0.4856644965715877	-0.6181806538748051	-0.003630346137438369	0.0023102389135801916	True	0.004037658683955669	0.19804859161376953	12	1.6769533201302367e-08
2	b5_original	bc_follow	0.06718394313028811	-0.3514427568156199	-0.013783719694632636	0.1891961648278447	-0.5786413910832373	-0.0022943272368268503	0.0023102389135801916	True	0.004037658683955669	0.19804859161376953	12	1.6769533201302367e-08
2	b5_original	safe_reference	0.08309536586406216	-0.16248811860010856	-0.007598320260285847	0.2668422827494374	-0.6235304478784577	-0.0037209662907683677	0.0023102389135801916	True	0.004037658683955669	0.19804859161376953	12	1.6769533201302367e-08
2	opened_austin_prevalence	bc_collision	0.1270716529670299	-0.6084348418944647	-0.052987868190481194	0.3801465482337486	-0.28267386715371845	-0.002942609722223927	0.006363961300770047	True	0.010358920320868492	0.4237706959247589	12	NA
2	opened_austin_prevalence	bc_overtake	0.14242690562198587	-0.5188624838499114	-0.04689097489540147	0.48470892053580317	-0.6044111684142545	-0.0062021424133451375	0.006363961300770047	True	0.010358920320868492	0.4237706959247589	12	NA
2	opened_austin_prevalence	bc_follow	0.11965575959040167	-0.5242689782961635	-0.03662133016979502	0.09680890396951648	-0.5449378446296056	-0.0038482293956244233	0.006363961300770047	True	0.010358920320868492	0.4237706959247589	12	NA
2	opened_austin_prevalence	safe_reference	0.14150459448266473	-0.37832860507606975	-0.030127209006268082	0.3251635183520739	-0.6127167336604159	-0.006226608328304765	0.006363961300770047	True	0.010358920320868492	0.4237706959247589	12	NA
3	b5_original	bc_collision	0.10624271270209554	-0.08060424475298106	-0.0058690898234710345	0.9999999999867709	-0.002343847867004622	-2.7340496300871215e-05	0.005378388484451486	True	0.01812048815190792	0.3196772634983063	12	1.2571647210746217e-07
3	b5_original	bc_overtake	0.10371234409458813	-0.14126439387082337	-0.009296256828769714	0.9999999999892983	-0.33561172020955676	-0.0028235175749756706	0.005378388484451486	True	0.01812048815190792	0.3196772634983063	12	1.2571647210746217e-07
3	b5_original	bc_follow	0.0984729602915933	-0.01761892566718277	-0.001012844474636268	0.9999999999910079	-0.44137832959280743	-0.003678205022733388	0.005378388484451486	True	0.01812048815190792	0.3196772634983063	12	1.2571647210746217e-07
3	b5_original	safe_reference	0.10972742243692389	0.037416009677201226	0.0023104247426290773	0.9999999999919765	-0.4424666981798066	-0.003948125356058894	0.005378388484451486	True	0.01812048815190792	0.3196772634983063	12	1.2571647210746217e-07
3	opened_austin_prevalence	bc_collision	0.0904322196554397	0.21843744519624447	0.01353829494187453	0.859923903251478	-0.0003642047551540249	-3.6161515737045025e-06	0.003919848960234128	True	0.015905914828181267	0.20885026454925537	12	NA
3	opened_austin_prevalence	bc_overtake	0.07724011391166306	0.20877678579002712	0.010232224628004724	0.8470507835806546	-0.4099519356370376	-0.0025686135734939663	0.003919848960234128	True	0.015905914828181267	0.20885026454925537	12	NA
3	opened_austin_prevalence	bc_follow	0.07556864663298868	0.341435597323921	0.015062490577568984	0.8570945103229948	-0.36930394188977594	-0.002361747804057182	0.003919848960234128	True	0.015905914828181267	0.20885026454925537	12	NA
3	opened_austin_prevalence	safe_reference	0.08020590441865863	0.32003403499159777	0.01444513774920874	0.8826931664527589	-0.3991064019015613	-0.00260309609676215	0.003919848960234128	True	0.015905914828181267	0.20885026454925537	12	NA
4	b5_original	bc_collision	0.09637815148179606	-0.31856602295133807	-0.02104222878292458	0.19154692129657971	0.4205865958662293	0.006185795727407865	0.008726627731642234	True	0.005082206334918737	0.20635958015918732	12	1.3318046167103137e-07
4	b5_original	bc_overtake	0.09269745780988554	-0.5962018670363406	-0.03506760520481348	0.14166188245112016	0.15190485225293293	0.001522431072651193	0.008726627731642234	True	0.005082206334918737	0.20635958015918732	12	1.3318046167103137e-07
4	b5_original	bc_follow	0.0702848917336925	-0.6074310205686072	-0.024923285541452483	0.1154826423759026	0.06596083251972845	0.00045191872732826407	0.008726627731642234	True	0.005082206334918737	0.20635958015918732	12	1.3318046167103137e-07
4	b5_original	safe_reference	0.07991963521428092	-0.6320063726124748	-0.028424584850535724	0.06340366963818063	0.018661177078365253	0.00015467943146969587	0.008726627731642234	True	0.005082206334918737	0.20635958015918732	12	1.3318046167103137e-07
4	opened_austin_prevalence	bc_collision	0.06962944450662371	0.2972418336406549	0.014184582393367205	0.4955148879549293	0.15108009206292491	0.0016053204036020417	0.005690727640312028	True	0.001422461704351008	0.07396391779184341	12	NA
4	opened_austin_prevalence	bc_overtake	0.05493597475950174	-0.01382540991485052	-0.0004819253866546997	0.43862073125790685	-0.2517274011701262	-0.0014951525150638538	0.005690727640312028	True	0.001422461704351008	0.07396391779184341	12	NA
4	opened_austin_prevalence	bc_follow	0.05047065167035851	0.12960562769929002	0.003818643523129143	0.6009406824759363	-0.12256082642509526	-0.0006029798829590863	0.005690727640312028	True	0.001422461704351008	0.07396391779184341	12	NA
4	opened_austin_prevalence	safe_reference	0.05581340969456552	0.05175761839401817	0.0016256686067003515	0.5956841740923154	-0.21511283791698965	-0.0012452166665714798	0.005690727640312028	True	0.001422461704351008	0.07396391779184341	12	NA
5	b5_original	bc_collision	0.09591095894306807	0.18360412597901166	0.01206880754348141	0.3853122607320337	-0.0037903482151761384	-6.384076932832838e-05	0.010966403142649577	False	0.0048783221282064915	0.2665962874889374	11	3.8935246294419246e-09
5	b5_original	bc_overtake	0.10273468211738922	0.6826331786226241	0.044498915548069715	-0.11442578465365934	-0.044874197710262534	-0.0004696529067778782	0.010966403142649577	False	0.0048783221282064915	0.2665962874889374	11	3.8935246294419246e-09
5	b5_original	bc_follow	0.08469482694860477	0.6274008603599517	0.03102046766532847	0.21319001320321532	0.11678671390889868	0.0010381050946552859	0.010966403142649577	False	0.0048783221282064915	0.2665962874889374	11	3.8935246294419246e-09
5	b5_original	safe_reference	0.09394607817804204	0.7212403681000727	0.038130970719933134	0.034947919796630623	0.09889258449268938	0.0009808159325836226	0.010966403142649577	False	0.0048783221282064915	0.2665962874889374	11	3.8935246294419246e-09
5	opened_austin_prevalence	bc_collision	0.10082099445217689	0.5070198535695223	0.035033992641875566	0.41975540825516333	-0.2177671127720249	-0.003855618351652982	0.011631756156453493	False	0.00451938109472394	0.34062662720680237	11	NA
5	opened_austin_prevalence	bc_overtake	0.11167479390448426	0.7791960149702895	0.05521369798052466	0.1736040887811281	-0.1095835729592873	-0.0012467054333036303	0.011631756156453493	False	0.00451938109472394	0.34062662720680237	11	NA
5	opened_austin_prevalence	bc_follow	0.09417648593415612	0.8204196270476412	0.04510501887469536	0.27486262188045374	0.112216808694898	0.001109152835645546	0.011631756156453493	False	0.00451938109472394	0.34062662720680237	11	NA
5	opened_austin_prevalence	safe_reference	0.10067637152336252	0.8032844330497673	0.045510969341205056	0.2676078999806396	0.09326112026814994	0.000991227432348337	0.011631756156453493	False	0.00451938109472394	0.34062662720680237	11	NA
6	b5_original	bc_collision	0.051685466783809704	0.006359639246974331	0.00022527583898145033	0.4243190050904483	0.14866172576782843	0.0012494817886429155	0.007530901116045225	True	0.0014776575844734907	0.04953966662287712	12	2.3644990060529836e-08
