variant	reference	output_parameter_count	delta_l2	reference_l2	relative_l2	delta_max_abs
seed1_iter10	BC	706862	0.1402603528194893	29.781312892365815	0.004709676612525831	0.0025674551725387573
seed1_iter20	BC	706862	0.19938176679922495	29.781312892365815	0.006694861556971008	0.0038555823266506195
seed1_iter20	seed1_iter10	706862	0.1441671556464153	29.781752679299206	0.004840788156387567	0.003766346722841263
seed1_iter30	BC	706862	0.24303894326076017	29.781312892365815	0.00816078673694272	0.004457242786884308
seed1_iter30	seed1_iter20	706862	0.1510000762845258	29.781597799982663	0.005070247650870287	0.0027705300599336624
