variant	case_id	startpoint_ordinal	ego_idx	opp_raceline	opp_speedscale	bc_outcome	candidate_outcome	fixed_collision	new_collision	persistent_collision	gained_overtake	lost_overtake	collision_source_variant	collision_terminal_distance_m	collision_relative_progress_m	collision_phase_inferred	collision_cause_inferred	collision_final_time_s	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
seed1_iter10	sp15_ol2_s0.8	15	641	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp17_ol0_s0.8	17	727	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp17_ol1_s0.5	17	727	raceline1	0.5	collision	following	1	0	0	0	0	BC	0.6312862086269377	0.5849761962890625	alongside	opponent_proximity_inferred	2.4200000762939453	fixed_collision	BC	242	0.007936920487554743	0.007936920487554743	0.011399248614907265	-0.03975517272949219	0.03975517272949219	0.05420827865600586	0.00685462866036687	0.00685462866036687	0.011399248614907265	-0.04206732273101807	0.04206732273101807	0.07570123672485352
seed1_iter10	sp21_ol0_s0.7	21	898	raceline0	0.7	collision	overtaking	1	0	0	1	0	BC	0.4436810940296379	-0.2068939208984375	alongside	opponent_proximity_inferred	6.099999904632568	fixed_collision	BC	610	0.004387389421463012	0.004387389421463012	0.010234132409095764	-0.03861568450927735	0.03861568450927735	0.06003522872924805	0.0028731198608875274	0.0029750536382198334	0.010234132409095764	-0.035483660697937014	0.03743519306182861	0.06853342056274414
seed1_iter10	sp23_ol0_s0.8	23	983	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp25_ol2_s0.8	25	1069	raceline2	0.8	following	overtaking	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp29_ol0_s0.8	29	1240	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp29_ol2_s0.8	29	1240	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter10	sp32_ol1_s0.5	32	1368	raceline1	0.5	collision	following	1	0	0	0	0	BC	0.6103894241510667	0.596221923828125	alongside	opponent_proximity_inferred	6.769999980926514	fixed_collision	BC	677	-0.001907241940498352	0.0019407784938812256	0.0064752548933029175	-0.030736312866210938	0.030736312866210938	0.06389284133911133	0.0013717687129974365	0.0032958269119262697	0.0064752548933029175	-0.02185126781463623	0.02185126781463623	0.06389284133911133
seed1_iter10	sp32_ol1_s0.6	32	1368	raceline1	0.6	collision	following	1	0	0	0	0	BC	0.6112666496827811	0.613067626953125	ego_behind	opponent_proximity_inferred	4.380000114440918	fixed_collision	BC	438	0.008921975791454316	0.008921975791454316	0.016028940677642822	-0.021565275192260744	0.021565275192260744	0.03812766075134277	0.0067276181280612945	0.0067276181280612945	0.016028940677642822	-0.02620952606201172	0.02620952606201172	0.03812766075134277
seed1_iter10	sp33_ol1_s0.5	33	1411	raceline1	0.5	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
