variant	group	transition_steer_abs_mean	transition_steer_abs_p50	transition_steer_abs_p95	transition_steer_abs_p99	transition_steer_abs_max	transition_speed_abs_mean	transition_speed_abs_p50	transition_speed_abs_p95	transition_speed_abs_p99	transition_speed_abs_max	transition_kl_mean	transition_kl_p50	transition_kl_p95	transition_kl_p99	transition_kl_max	transition_speed_signed_mean	transition_count	episode_count	episode_steer_abs_mean	episode_steer_abs_p50	episode_steer_abs_p95	episode_steer_abs_p99	episode_steer_abs_max	episode_speed_abs_mean	episode_speed_abs_p50	episode_speed_abs_p95	episode_speed_abs_p99	episode_speed_abs_max	episode_kl_mean	episode_kl_p50	episode_kl_p95	episode_kl_p99	episode_kl_max
seed1_iter10	all	0.0029201643312386743	0.0021300315856933594	0.008137892931699753	0.014222388342022906	0.04918577242642641	0.033588396792524136	0.03380870819091797	0.0595090389251709	0.0752644062042237	0.1618356704711914	0.02674194354646708	0.019509264852758515	0.07201826124344995	0.1390313433104932	1.3490726418992767	-0.03134056592303658	471786	600	0.0029676948955397954	0.0028855395171972697	0.004666029058453277	0.005705214316378644	0.010507105073581139	0.03361765199777445	0.03350918495402056	0.042985453572910226	0.048396002804295395	0.0542257186327683	0.02721670536905474	0.024931860902344154	0.04318106372894372	0.05727917084347956	0.11269221615010698
seed1_iter10	bc_collision	0.004097928956583121	0.002856642007827759	0.013052856177091588	0.019552444294095018	0.04918577242642641	0.03748021302145336	0.03779768943786621	0.06549382209777832	0.07907608509063718	0.1262044906616211	0.04086652088364274	0.028138050958685348	0.11793974608608841	0.22953893884009552	1.3490726418992767	-0.03545566097574664	10410	24	0.00474620048151721	0.003953208199788532	0.00871769177457907	0.010129929391620125	0.010507105073581139	0.03642723671067106	0.036358353009930365	0.05006449565427568	0.0531018012515868	0.053825247891341584	0.04625959762551534	0.043210665473827764	0.07441246644841162	0.10395797645759372	0.11269221615010698
seed1_iter10	bc_following	0.002272334111433497	0.001322522759437561	0.007646437734365465	0.013386826962232614	0.04918505251407623	0.034521365762411986	0.03507983684539795	0.05620989799499512	0.06909354686737061	0.13134193420410156	0.024639165482676764	0.018454748549643105	0.06327826134720187	0.12570063027655115	1.3490334181675667	-0.03238437302939363	187434	234	0.0022723341114334965	0.0020193467277117285	0.004107705565790335	0.005281198698673838	0.006146101050832299	0.034521365762411986	0.03412939516941409	0.04271297500969914	0.0481741480836261	0.04891229747386461	0.024639165482676768	0.02275490527028618	0.04035628273066559	0.04563217129927695	0.047563822864317346
seed1_iter10	bc_overtaking	0.0033186606540702513	0.002585187554359436	0.008185902237892144	0.014440943747758974	0.04918545484542847	0.03280215768773147	0.0324704647064209	0.06137702465057372	0.07854288101196294	0.1618356704711914	0.027643941975070505	0.020154949116680934	0.07447473170230706	0.14376565147090925	1.34905540568937	-0.030470005436978802	273942	342	0.0033186606540702517	0.00332540903617157	0.00463893136082824	0.005248480172683662	0.005662183464503616	0.03280215768773147	0.03280514768893353	0.041821434316266046	0.04568951143456456	0.0542257186327683	0.027643941975070505	0.025356225938602584	0.04239166477909773	0.05294314535704181	0.06631882562402658
seed1_iter10	fixed_collision	0.0038431230242982383	0.0026315078139305115	0.011720042116940022	0.01940087847411647	0.040918247774243355	0.03878657407119494	0.038550615310668945	0.06369404792785645	0.0758653545379639	0.1262044906616211	0.039449593995898175	0.026911733778773997	0.10707454763750865	0.21878614117379355	0.9337681619633094	-0.037429992631703865	5950	11	0.0040260253206899806	0.003737081766700815	0.006318782469426729	0.007560090312666452	0.007870417273476382	0.038538861643703515	0.038522841500454263	0.0455160988978424	0.046365310945196254	0.04657761395703472	0.040732749809077366	0.03691676164129187	0.06389083166702186	0.07021872525378031	0.07180069865046992
seed1_iter10	gained_overtake	0.003657326421176164	0.002629488706588745	0.010905473120510567	0.020661552548408502	0.02764664590358734	0.03741708702307872	0.03688240051269531	0.06444416046142579	0.08037555694580077	0.1262044906616211	0.03663794503944743	0.02364970434752628	0.1070933544447855	0.23879505175660432	0.4730482892747023	-0.03602182285494326	4689	8	0.0036121110958329287	0.0035382108551930943	0.004737591212734838	0.004761236374848629	0.004767147665377077	0.03701656811334946	0.03613668116060517	0.04451948555095515	0.0461659882758188	0.04657761395703472	0.03616269842970932	0.031913268043098006	0.054310832933272976	0.055646938333513626	0.05598096468357379
seed1_iter10	lost_overtake	0.0038541154041323066	0.003137946128845215	0.009447126835584638	0.015930170863866805	0.04895663261413574	0.033276019570632025	0.033156394958496094	0.06402133703231812	0.08690165519714355	0.12990617752075195	0.032414059354916196	0.024284438243291386	0.08783035235600546	0.17133062014886796	1.3369763765859315	-0.030138090887452017	14418	18	0.003854115404132306	0.0037661462024635587	0.0048308413100781175	0.004979436772999896	0.005016585638730342	0.033276019570632025	0.03183193793159894	0.04415321863545907	0.04430231156569444	0.044339584798253284	0.03241405935491619	0.030893452215792074	0.04379537117532305	0.05009173642830723	0.05166582774155329
seed1_iter10	new_collision	0.0037560276623725243	0.0030369162559509277	0.009502474218606949	0.014900191128253915	0.03682141751050949	0.03209018511096217	0.03164386749267578	0.06045174598693848	0.08708901405334472	0.12990617752075195	0.030252464725063353	0.02100517236564138	0.0918212834212648	0.15665644773407222	0.7533987939937439	-0.029343965808239336	8811	11	0.0037560276623725243	0.003833907376160931	0.004667635844873914	0.004946795679959056	0.005016585638730342	0.03209018511096217	0.0312552862846003	0.038596619232168214	0.03912531615196543	0.03925749038191473	0.030252464725063353	0.029055042704616462	0.039966224864398575	0.04046705871496662	0.04059226717760863
seed1_iter10	persistent_collision	0.004437860637546137	0.003111843019723892	0.014310392737388617	0.019480490311980226	0.04918577242642641	0.03573742193491469	0.035967350006103516	0.0671957015991211	0.07956074714660644	0.08765697479248047	0.04275681572267417	0.03026359101036115	0.12547050870910076	0.23133125398053783	1.3490726418992767	-0.03282174318360641	4460	13	0.005355579463755634	0.005272798828416281	0.009523168511943712	0.010310317761253652	0.010507105073581139	0.03464047715195128	0.033611706137328765	0.05193799578763344	0.05344779747059995	0.053825247891341584	0.05093616116250131	0.049612729145588556	0.0899072430392028	0.10813522152792612	0.11269221615010698
seed1_iter20	all	0.003506596073099087	0.0025379061698913574	0.009517285972833633	0.0151096396148206	0.04966513812541962	0.09570476533944203	0.09956634044647217	0.1364210844039917	0.15623767375946046	0.2306208610534668	0.1377210311557415	0.13138780943259143	0.2548844974299944	0.3417820175964488	1.3736600219002597	-0.09548163484927791	471786	600	0.0035638769563302326	0.0036045931902866386	0.005129733342642348	0.007048754447101658	0.014214566003324257	0.09535029363599257	0.09535658802014535	0.11110832915919251	0.11397899065868981	0.12140908372238483	0.1376090225400165	0.13468216798986576	0.17847599850525087	0.1944220887711861	0.21449078610078642
seed1_iter20	bc_collision	0.005396411716940256	0.004259790759533644	0.014211614243686195	0.027597868144512143	0.03876590542495251	0.0890165209999231	0.09147906303405762	0.1404261589050293	0.17048393726348868	0.19874238967895508	0.14350606248347028	0.12538720978503035	0.3005282499677276	0.4692354138212262	0.8357213181852015	-0.08840237931490631	10410	24	0.0059619733792411755	0.005010467268862579	0.010436957396021629	0.013415308509600377	0.014214566003324257	0.08322121746947715	0.08790717151176962	0.1120268744550189	0.11685257533978109	0.11782465461787739	0.13805347161580356	0.13690106057086657	0.19966440070766334	0.21142212738880833	0.21449078610078642
seed1_iter20	bc_following	0.002852685173670006	0.001935817301273346	0.008732222020626068	0.01364232659339905	0.04168003797531128	0.09385792092337113	0.1002054214477539	0.12842559814453125	0.14717824459075957	0.19322967529296875	0.12928963535290638	0.1299149384938087	0.2225999945580358	0.3009737760280689	1.0234173220965994	-0.09354041740162325	187434	234	0.0028526851736700057	0.0028410726081528766	0.0046949346363777	0.005802615206565396	0.007406818123531996	0.09385792092337113	0.09386481677697095	0.11073064153709364	0.1124322459462579	0.11920753757605392	0.12928963535290638	0.12872318957417572	0.16398566039057313	0.18001496730163344	0.19844728662509772
seed1_iter20	bc_overtaking	0.0038821943919811986	0.0030857622623443604	0.009759175032377238	0.015777269452810348	0.04966513812541962	0.09722255399491007	0.09926891326904297	0.140617299079895	0.1597990274429323	0.2306208610534668	0.1432700454171068	0.13304917096819383	0.2678030966225078	0.3557537986357453	1.3736600219002597	-0.09707885324293974	273942	342	0.003882194391981199	0.003907066271099705	0.005050057589079947	0.005308694919901486	0.006387932095839439	0.09722255399491009	0.09642057814699284	0.11187679507908005	0.11447043288364242	0.12140908372238483	0.14327004541710678	0.14163572456739065	0.17912206769763175	0.19413543460569938	0.20606390869868868
seed1_iter20	fixed_collision	0.005521324485424715	0.004379838705062866	0.014888055622577667	0.025848246365785647	0.03876590542495251	0.0931826771994834	0.09337925910949707	0.14185404777526855	0.17328267097473146	0.19874238967895508	0.15103348499031527	0.1288450731010477	0.3156031017657893	0.44365155186126604	0.8357213181852015	-0.09298922086189496	6916	14	0.006023765151992191	0.005294923836006473	0.009428370643040111	0.010477300866140892	0.01073953342191609	0.08867764505495088	0.0890938396204286	0.1082682971338443	0.11591338312107076	0.11782465461787739	0.14709536012199909	0.13749071233317495	0.19471643073026873	0.19986231950675912	0.20114879170088173
seed1_iter20	gained_overtake	0.005549899119095953	0.0042148977518081665	0.0151356216520071	0.025404160171747195	0.03876590542495251	0.08974171093272679	0.08921194076538086	0.13338310718536373	0.17052028656005824	0.19874238967895508	0.1413142414766262	0.11798748422105083	0.27032931238880153	0.4549708442125887	0.8357213181852015	-0.08960040939842585	4728	10	0.0060865322283316725	0.005568270952719845	0.009831805344232718	0.010557987806379416	0.01073953342191609	0.08634474195012774	0.08790717151176962	0.10287226804530572	0.10307250655378387	0.10312256618090342	0.14088962635716065	0.1345818538592613	0.18942586477612208	0.19088745435209845	0.19125285174609252
seed1_iter20	lost_overtake	0.0038946380853498034	0.002870403230190277	0.010264898091554646	0.017122863531112673	0.043491460382938385	0.09622649531629453	0.09677624702453613	0.14368979930877687	0.16679697036743163	0.20724725723266602	0.14279290448586904	0.129281481939013	0.279315492049999	0.3837300416366285	1.076269108542427	-0.09609279539321436	46458	58	0.003894638085349804	0.003923743633034821	0.005103117378472761	0.005781565516240681	0.006387932095839439	0.09622649531629451	0.09620302930455678	0.11203737753012058	0.11344903678929762	0.11358351921767332	0.14279290448586904	0.14565295223102367	0.17932437822034586	0.18998295447001923	0.1961110393002116
seed1_iter20	new_collision	0.003843179843151039	0.0027658790349960327	0.010570337995886803	0.01669791340827942	0.043491460382938385	0.09281433812939764	0.09506869316101074	0.13804525136947632	0.16083085536956787	0.19562864303588867	0.1336900996850348	0.12495275642969458	0.25702027916639536	0.34153606442415396	1.076269108542427	-0.09256903094081316	20826	26	0.003843179843151039	0.003928817364476742	0.004508407856541198	0.004518538162044799	0.00451901438791356	0.09281433812939764	0.09289980492788308	0.10594466838348521	0.10987172181835485	0.11102476637908136	0.13369009968503484	0.12992091646125603	0.17195031613378453	0.17880218234597406	0.1791506687367827
seed1_iter20	persistent_collision	0.005149160226717438	0.004120051860809326	0.012616346590220928	0.028384213242679836	0.03376315627247095	0.0807700595585496	0.0844273567199707	0.13827340602874755	0.15515868186950685	0.17074012756347656	0.12860633321691622	0.11569456074745293	0.2831416404285006	0.4866621394457325	0.6971204290896607	-0.07932321613832549	3494	10	0.005875464897389755	0.004702227325146075	0.010988323240858489	0.013569317450831106	0.014214566003324257	0.07558221884981396	0.0684841810984824	0.10824324823429295	0.11252722802604298	0.11359822297398048	0.12539482770712984	0.11549596069254908	0.20292644780922361	0.21217791844247388	0.21449078610078642
seed1_iter30	all	0.006237571002826599	0.005273014307022095	0.017288200557231903	0.027162723243236573	0.0735231414437294	0.10423019066003406	0.11207294464111328	0.14361929893493652	0.1651355743408205	0.3231632709503174	0.18823621742775434	0.1775222203794391	0.3371813423619042	0.525627250890462	4.141961110655625	-0.10203385512906338	471786	600	0.006346806633279312	0.006392097872648198	0.009359560448608912	0.012731547879536786	0.025646419661050593	0.10378146203179991	0.10419500573595217	0.12046697874938354	0.12351985047372539	0.1276274998387445	0.1891818822874853	0.1841899367065232	0.24186987353321415	0.2700037719523108	0.4621685457354997
seed1_iter30	bc_collision	0.009720616859243423	0.007987163960933685	0.025677356310188748	0.03762241790071127	0.07350639998912811	0.09891462005410025	0.10579228401184082	0.15375993251800535	0.19037878990173335	0.3020179271697998	0.22809152821892256	0.19314359852940932	0.48601121102246747	0.9009212942152548	4.141958042683555	-0.09420596818071965	10410	24	0.010854568056554909	0.010097104442849265	0.014975552401280208	0.02319871410172185	0.025646419661050593	0.09013353706363891	0.10224906709014048	0.11974790728915816	0.12215075971990141	0.1225660066061382	0.23345991264845592	0.2282245543651702	0.33807364872109535	0.4342466126385149	0.4621685457354997
