group,run,update,scenario_id,episode_key,outcome,opp_raceline,opponent_speed_scale,avg_speed_mps,global_min_surface_dist_m,final_relative_position_m_json,trace_frames,trace_duration_s,terminal_post_step_present,terminal_post_step_true_count,collision_flag_present_in_trace,reference_index,reference_kind,reference_time_s,json_collision_time_s,trace_reference_lag_to_collision_s,initial_relative_progress_m,max_relative_progress_before_reference_m,relative_progress_at_reference_m,first_overtake_time_s,time_from_overtake_to_reference_s,opponent_longitudinal_in_ego_frame_m,opponent_lateral_in_ego_frame_m,center_distance_at_reference_m,rear_center_distance_at_reference_m,front_center_distance_at_reference_m,max_abs_estimated_sideslip_deg_0p5s_5step,max_abs_estimated_sideslip_deg_0p5s_10step,max_abs_estimated_yaw_rate_radps_0p5s,lateral_closure_m_0p5s,lateral_closure_m_1p0s,min_center_distance_m_1p0s,vehicle_collision,wall_only_collision,overtake_before_reference,opponent_behind_at_reference,lateral_merge_closing_0p5s,post_overtake_rear_contact,post_overtake_rear_merge_contact,high_sideslip_tail_3deg,high_sideslip_tail_5deg,high_sideslip_tail_8deg,trace_missing
BC,BC,0,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,ego_collision,2,0.7,5.371740916044004,0.0187,0.050885455288494086,472,4.709999999999944,True,1,True,471,terminal_collision_flag,4.709999999999944,4.709999999999944,0.0,-2.99293232204343,0.050885455288494086,0.050885455288494086,4.629999999999946,0.0799999999999983,-0.11730816594123857,0.3392186523208411,0.35892965867822185,0.38064650744876993,0.5300653130745145,14.157440193659028,16.14958744942091,2.6041664290432576,0.36845631852819133,0.5679745805301737,0.35892965867822185,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp1-ego42-raceline2-v0.8,ol2_e42_o63_s0.8,ego_collision,2,0.8,5.568452595837613,0.0039,-0.0535683276096961,727,7.25999999999989,True,1,True,726,terminal_collision_flag,7.25999999999989,7.25999999999989,0.0,-2.99293232204343,-0.0535683276096961,-0.0535683276096961,,,0.12018465105396337,0.3297056252211984,0.3509275561301282,0.5262672774007168,0.3708679711705576,9.609269398889008,12.881120464982656,2.4714656227125515,0.2747325016964397,0.5423454940157907,0.3509275561301282,True,False,False,False,True,False,False,False,False,False,False
BC,BC,0,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,ego_collision,0,0.8,6.0380098349670295,0.0049,0.10200797999576139,588,5.869999999999919,True,1,True,587,terminal_collision_flag,5.869999999999919,5.869999999999919,0.0,-2.918793232532323,0.16910758943612336,0.10200797999576139,5.479999999999928,0.3899999999999917,-0.08834830649626281,-0.3169999449397652,0.32908112731144545,0.3757025027661372,0.4935953870534085,3.533825732110579,4.218305121585768,0.4402455375603958,0.28451185579587895,0.35450697009496673,0.32908112731144545,True,False,True,True,True,True,True,True,False,False,False
BC,BC,0,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,ego_collision,0,0.8,5.356413182139344,0.0029,0.3790720708225024,706,7.049999999999894,True,1,True,705,terminal_collision_flag,7.049999999999894,7.049999999999894,0.0,-3.042886322651867,0.3790720708225024,0.3790720708225024,6.599999999999904,0.4499999999999904,-0.1844263236942223,-0.47609801404274027,0.5105706492218363,0.48766291647423676,0.6721232443454521,19.23658910860113,24.811992941603133,5.144499034885047,0.26591943207847474,0.25889401937606954,0.5105706492218363,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,ego_collision,2,0.7,4.685537919795945,0.0043,0.2634561926437584,438,4.369999999999951,True,1,True,437,terminal_collision_flag,4.369999999999951,4.369999999999951,0.0,-3.120405458589886,0.2634561926437584,0.2634561926437584,4.1699999999999555,0.19999999999999574,-0.36740713695497046,0.30517533608681496,0.4776190846701469,0.31483940447038394,0.7247869545425274,18.117444364284463,24.653807198623614,5.237465831107292,0.18027311493541942,0.5013113062099104,0.45793940292459556,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp17-ego727-raceline0-v0.5,ol0_e727_o739_s0.5,ego_collision,0,0.5,4.693024215135549,0.0225,-1.1385708153140968,224,2.2299999999999964,True,1,True,223,terminal_collision_flag,2.2299999999999964,2.2299999999999964,0.0,-4.350060837436047,-1.1385708153140968,-1.1385708153140968,,,-0.04609636352637381,1.7848747056054393,1.7854698511709626,1.8014623777906555,1.8162429573946752,144.65278205294334,145.35010567301407,49.74743948403183,-0.39129834795004514,-0.544448601683845,1.7854698511709626,False,True,False,True,False,False,False,False,False,False,False
BC,BC,0,evaluation-sp17-ego727-raceline1-v0.5,ol1_e727_o742_s0.5,ego_collision,1,0.5,4.208081471640541,0.0079,-0.5841465746900667,243,2.4199999999999924,True,1,True,242,terminal_collision_flag,2.4199999999999924,2.4199999999999924,0.0,-2.999458000000004,-0.5841465746900667,-0.5841465746900667,,,0.5748617657916704,-0.2608755169369441,0.631286056480131,0.903350380121359,0.38626708499051055,2.6652242131199695,3.4678637774257144,0.47031514229173466,-0.04041271872644009,0.207750957311856,0.631286056480131,True,False,False,False,False,False,False,False,False,False,False
BC,BC,0,evaluation-sp17-ego727-raceline2-v0.5,ol2_e727_o745_s0.5,ego_collision,2,0.5,3.0675678705335865,0.0013,-0.4417145941527565,109,1.0800000000000007,True,1,True,108,terminal_collision_flag,1.0800000000000007,1.0800000000000007,0.0,-2.1996019999999987,-0.4415002760181608,-0.4417145941527565,,,0.5093848173781894,0.29034387994297506,0.5863211242960227,0.850479661646945,0.36390832185648386,19.08566424448312,24.968010420336096,5.708247654876789,0.21877134240763263,0.17838866611834903,0.5863211242960227,True,False,False,False,True,False,False,False,False,False,False
BC,BC,0,evaluation-sp17-ego727-raceline2-v0.7,ol2_e727_o745_s0.7,ego_collision,2,0.7,4.4035788511683425,0.0079,-0.5736269709611861,225,2.239999999999996,True,1,True,224,terminal_collision_flag,2.239999999999996,2.239999999999996,0.0,-2.1996019999999987,-0.5736269709611861,-0.5736269709611861,,,0.5653715016652133,0.2920656947463887,0.6363547005741915,0.903859931576067,0.4014122992348955,3.1809641361945835,3.8611933220728636,0.6042541957420817,0.09823543097808246,0.05040027479391135,0.6363547005741915,True,False,False,False,False,False,False,False,False,False,False
BC,BC,0,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,ego_collision,2,0.8,5.514384644309614,0.0039,0.21871777265468495,578,5.769999999999921,True,1,True,577,terminal_collision_flag,5.769999999999921,5.769999999999921,0.0,-2.990392967341876,0.21871777265468495,0.21871777265468495,5.5799999999999255,0.18999999999999595,-0.15823833827674422,0.34696673149223434,0.3813466722851919,0.3711428946679135,0.5668364143767594,10.420628323138125,13.955826053104762,2.6906767182884335,0.36003913787395536,0.5928622537407083,0.3813466722851919,True,False,True,True,True,True,True,True,True,True,False
