group,run,update,scenario_id,episode_key,bc_strict_5deg_tail,outcome,ego_collision,opp_collision,collision_time_s,avg_speed_mps,final_relative_position_m,trace_frames,trace_duration_s,terminal_post_step_present,terminal_post_step_true_count,collision_flag_present_in_trace,reference_index,reference_kind,reference_time_s,json_collision_time_s,trace_reference_lag_to_collision_s,initial_relative_progress_m,max_relative_progress_before_reference_m,relative_progress_at_reference_m,first_overtake_time_s,time_from_overtake_to_reference_s,opponent_longitudinal_in_ego_frame_m,opponent_lateral_in_ego_frame_m,center_distance_at_reference_m,rear_center_distance_at_reference_m,front_center_distance_at_reference_m,max_abs_estimated_sideslip_deg_0p5s_5step,max_abs_estimated_sideslip_deg_0p5s_10step,max_abs_estimated_yaw_rate_radps_0p5s,lateral_closure_m_0p5s,lateral_closure_m_1p0s,min_center_distance_m_1p0s,vehicle_collision,wall_only_collision,overtake_before_reference,opponent_behind_at_reference,lateral_merge_closing_0p5s,post_overtake_rear_contact,post_overtake_rear_merge_contact,high_sideslip_tail_3deg,high_sideslip_tail_5deg,high_sideslip_tail_8deg,trace_missing
BC,BC,0,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,True,ego_collision,True,True,4.709999999999944,5.371740916044004,0.050885455288494086,472,4.709999999999944,True,1,True,471,terminal_collision_flag,4.709999999999944,4.709999999999944,0.0,-2.99293232204343,0.050885455288494086,0.050885455288494086,4.629999999999946,0.0799999999999983,-0.11730816594123857,0.3392186523208411,0.35892965867822185,0.38064650744876993,0.5300653130745145,14.157440193659028,16.14958744942091,2.6041664290432576,0.36845631852819133,0.5679745805301737,0.35892965867822185,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,False,ego_collision,True,True,5.869999999999919,6.0380098349670295,0.10200797999576139,588,5.869999999999919,True,1,True,587,terminal_collision_flag,5.869999999999919,5.869999999999919,0.0,-2.918793232532323,0.16910758943612336,0.10200797999576139,5.479999999999928,0.3899999999999917,-0.08834830649626281,-0.3169999449397652,0.32908112731144545,0.3757025027661372,0.4935953870534085,3.533825732110579,4.218305121585768,0.4402455375603958,0.28451185579587895,0.35450697009496673,0.32908112731144545,True,False,True,True,True,True,True,True,False,False,False
BC,BC,0,evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,True,ego_collision,True,True,7.049999999999894,5.356413182139344,0.3790720708225024,706,7.049999999999894,True,1,True,705,terminal_collision_flag,7.049999999999894,7.049999999999894,0.0,-3.042886322651867,0.3790720708225024,0.3790720708225024,6.599999999999904,0.4499999999999904,-0.1844263236942223,-0.47609801404274027,0.5105706492218363,0.48766291647423676,0.6721232443454521,19.23658910860113,24.811992941603133,5.144499034885047,0.26591943207847474,0.25889401937606954,0.5105706492218363,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,True,ego_collision,True,True,4.369999999999951,4.685537919795945,0.2634561926437584,438,4.369999999999951,True,1,True,437,terminal_collision_flag,4.369999999999951,4.369999999999951,0.0,-3.120405458589886,0.2634561926437584,0.2634561926437584,4.1699999999999555,0.19999999999999574,-0.36740713695497046,0.30517533608681496,0.4776190846701469,0.31483940447038394,0.7247869545425274,18.117444364284463,24.653807198623614,5.237465831107292,0.18027311493541942,0.5013113062099104,0.45793940292459556,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,True,ego_collision,True,True,5.769999999999921,5.514384644309614,0.21871777265468495,578,5.769999999999921,True,1,True,577,terminal_collision_flag,5.769999999999921,5.769999999999921,0.0,-2.990392967341876,0.21871777265468495,0.21871777265468495,5.5799999999999255,0.18999999999999595,-0.15823833827674422,0.34696673149223434,0.3813466722851919,0.3711428946679135,0.5668364143767594,10.420628323138125,13.955826053104762,2.6906767182884335,0.36003913787395536,0.5928622537407083,0.3813466722851919,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp21-ego898-raceline0-v0.7,ol0_e898_o902_s0.7,True,ego_collision,True,True,6.099999999999914,4.966912395408133,0.2002413333312063,611,6.099999999999914,True,1,True,610,terminal_collision_flag,6.099999999999914,6.099999999999914,0.0,-2.9938366206783087,0.2942155679924383,0.2002413333312063,5.689999999999923,0.40999999999999126,-0.02426424816925954,-0.44301738631328036,0.4436813702591869,0.5166041950825595,0.5431633476710669,13.70788448295745,18.37971275648171,3.477425664521053,0.3417303396029264,0.18828326745427348,0.4436813702591869,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp30-ego1283-raceline0-v0.7,ol0_e1283_o1279_s0.7,False,ego_collision,True,True,7.25999999999989,4.608282765705023,0.5833296194275022,727,7.25999999999989,True,1,True,726,terminal_collision_flag,7.25999999999989,7.25999999999989,0.0,-2.7444438072821526,0.5833296194275022,0.5833296194275022,6.089999999999915,1.169999999999975,-0.10425257176541317,-0.47464259196837205,0.48595698248935276,0.5096937288276338,0.6170256724432921,2.4184541148581205,4.642504535623697,2.595568880983683,0.2613282506741929,0.25909275013668404,0.48595698248935276,True,False,True,True,True,True,True,False,False,False,False
BC,BC,0,evaluation-sp37-ego1582-raceline2-v0.7,ol2_e1582_o1611_s0.7,True,ego_collision,True,True,3.2699999999999743,4.46947943275672,0.5393858850768538,328,3.2699999999999743,True,1,True,327,terminal_collision_flag,3.2699999999999743,3.2699999999999743,0.0,-3.0969620622893785,0.5393858850768538,0.5393858850768538,2.9399999999999813,0.32999999999999297,-0.5485970421464164,0.3084057565250502,0.6293431697488941,0.40247551585737984,0.893509434619751,11.497926425057104,16.376395301629728,2.5394983123502977,0.3543227211210127,0.04983103412119194,0.5022240818855537,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp4-ego171-raceline2-v0.8,ol2_e171_o194_s0.8,True,ego_collision,True,True,6.7499999999999005,5.262749472933925,0.5245361851931705,676,6.7499999999999005,True,1,True,675,terminal_collision_flag,6.7499999999999005,6.7499999999999005,0.0,-2.9674902499793063,0.5245361851931705,0.5245361851931705,6.259999999999911,0.48999999999998956,-0.47023898093223737,0.35567675667640686,0.5896021153524104,0.3987380662632292,0.8393266726184357,8.414380405175596,10.911154702691922,1.7872013378265477,0.4926292479107426,0.7486576934029364,0.5885965354424381,True,False,True,True,True,True,True,True,True,True,False
BC,BC,0,evaluation-sp45-ego1924-raceline0-v0.7,ol0_e1924_o1919_s0.7,False,ego_collision,True,True,7.129999999999892,4.916866693885193,0.4263164048785768,714,7.129999999999892,True,1,True,713,terminal_collision_flag,7.129999999999892,7.129999999999892,0.0,-3.036418303031155,0.5228902684545176,0.4263164048785768,6.089999999999915,1.0399999999999778,-0.29835491425338173,-0.47050283971148393,0.5571252794800404,0.47057701470508706,0.7533488085227682,3.813820747511424,4.64795267722992,1.7943190016568193,0.08375179517412418,0.1814698631444343,0.5326217252019008,True,False,True,True,False,True,False,False,False,False,False
BC,BC,0,evaluation-sp5-ego213-raceline0-v0.7,ol0_e213_o221_s0.7,True,ego_collision,True,True,3.3099999999999734,4.792826672170031,0.3994657999474782,332,3.3099999999999734,True,1,True,331,terminal_collision_flag,3.3099999999999734,3.3099999999999734,0.0,-3.1763834205093247,0.3994657999474782,0.3994657999474782,3.0699999999999785,0.23999999999999488,-0.3578429480408372,-0.33742089768021805,0.4918378164129732,0.34417368840484586,0.7304473612229474,6.689688528709283,8.409797836458475,1.0946240253638406,0.30907522544123983,0.04914131531723037,0.4510113112995222,True,False,True,True,True,True,True,True,True,False,False
BC,BC,0,evaluation-sp9-ego384-raceline0-v0.7,ol0_e384_o391_s0.7,False,ego_collision,True,True,7.389999999999887,5.180466971937848,0.0727690511544381,740,7.389999999999887,True,1,True,739,terminal_collision_flag,7.389999999999887,7.389999999999887,0.0,-2.819123226821347,0.0727690511544381,0.0727690511544381,7.089999999999893,0.2999999999999936,-0.030657368199426827,-0.33992644160775826,0.3413061088363757,0.42756120775084394,0.46730197248106653,4.825410114407883,5.770600216293625,0.9693637132742989,0.4324625021702631,0.46051312376615255,0.3413061088363757,True,False,True,True,True,True,True,True,False,False,False
G1,ppo_independent_gru_0721_base,1,evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,True,overtake,False,False,,5.520384148085265,4.491952583617035,801,7.999999999999874,False,0,False,479,closest_approach,4.789999999999942,,,-2.99293232204343,-0.3345428036212468,-0.3350766373991121,,,0.22987447701982147,0.5032886999467514,0.5533008139152044,0.7235806709349857,0.506867432380234,11.867887447487547,13.88052756575638,2.154626630356519,0.05992782938169916,0.39105595102460544,0.5533008139152044,False,False,False,False,False,False,False,False,False,False,False
G1,ppo_independent_gru_0721_base,1,evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,False,ego_collision,True,True,7.179999999999891,5.901543227129055,0.34410697369725085,718,7.169999999999892,False,0,False,717,nearest_preterminal_frame,7.169999999999892,7.179999999999891,0.009999999999999787,-2.918793232532323,0.3405814762671753,0.3405814762671753,5.599999999999925,1.5699999999999665,-0.2685909384583293,-0.3827063153922414,0.46755236718792453,0.3833046722350261,0.6771173903902209,5.92570324183296,7.428695016341894,1.1438595897322545,-0.009499275153002806,-0.062485283880732434,0.32593372806439175,True,False,True,True,False,True,False,False,False,False,False
