group,arm,run,formal_metric_rows,expected_updates,updates_complete,mean_rollout_collision_rate,final_rollout_collision_rate,mean_episode_return,final_episode_return,mean_relative_position_m,final_relative_position_m,median_approx_kl_mean,max_approx_kl_max,updates_approx_kl_mean_gt_0p05,updates_approx_kl_max_gt_0p5,mean_clip_fraction,median_actor_grad_norm,max_actor_grad_norm,final_explained_variance,final_collision_explained_variance,final_ordinary_explained_variance,early_stop_updates,actor_steps_completed,actor_steps_planned,rollout_wall_seconds,actor_wall_seconds,critic_wall_seconds
G1,independent_gru,ppo_independent_gru_0721_base,20,20,True,0.29494961561395927,0.2980132450331126,-0.1312619902427898,-0.1498604457639884,3.299294075953121,3.0003561616444716,0.03417186810198473,3.495802640914917,5,9,0.10101342524558277,37.50455028563738,275.40484619140625,0.9074039817653526,0.8909515731541202,0.8821581500273489,0,0,0,1716.8518690269957,348.54222223899797,1007.3955938349973
G1,privilege_mlp,ppo_privilege_mlp_0721_base,20,20,True,0.3308788977332198,0.2620689655172414,-0.18964333737692254,-0.010953824387962193,3.887087975395127,4.500107274588114,0.04804031011095503,2.662461757659912,10,12,0.10913989014170511,39.90411478281021,262.6734313964844,0.6734456517455584,0.5988132401013067,0.7992051009723162,0,0,0,1514.233586172999,342.3421441260016,16.008830505001242
G1,privilege_gru base,ppo_privilege_gru_0721_base,20,20,True,0.2865151656049708,0.24475524475524477,-0.09998825014299371,0.020436447014787612,3.6810704524871896,4.5901949014582435,0.03266876309353393,3.094435453414917,8,9,0.09745165769709274,43.35179224610329,296.24932861328125,0.9220174622338332,0.9214666967809444,0.8640827169759592,0,0,0,1877.3195444899939,347.6350995729972,1037.7153297710065
G2,batch 25600,ppo_privilege_gru_0721_bs25600,20,20,True,0.31696124772453926,0.25,-0.15697452690284983,-0.005899796738774782,3.9336551593242524,3.833051963304344,0.0035962904985353816,1.245259165763855,5,3,0.06795898314371698,26.19664826989174,261.7760314941406,0.8907417132031176,0.8797230532468002,0.8106886282060017,0,0,0,1873.096725254003,276.1119871369956,794.9857443170004
G2,batch 51200,ppo_privilege_gru_0721_bs51200,20,20,True,0.289838190405976,0.2413793103448276,-0.1043396552894035,0.01167907826333293,3.7734441200414315,4.062716467253739,0.017717279224525262,0.5527903437614441,5,1,0.05960619981888158,31.878069192171097,213.29798889160156,0.8617407126749194,0.8463429684205447,0.8312802393150613,0,0,0,1874.719027170002,237.27936455800227,666.0152704170068
G3,clip 0.10,ppo_privilege_gru_0721_clip010,20,20,True,0.3147766510541274,0.20567375886524822,-0.17128685549058095,0.07046857067689463,3.3738815202615067,3.575431879451533,0.04605431573095302,2.8735873699188232,9,12,0.13597045600454294,45.001743882894516,254.2866973876953,0.9426720189391673,0.9405154526274596,0.8886337357075038,0,0,0,4635.327768436001,1010.7451479569988,2975.7918582730013
G3,clip 0.20 legacy 8-worker,ppo_privilege_gru_0721_clip020,20,20,True,0.26812402669763313,0.20279720279720279,-0.06265770614724721,0.08106363557205898,3.567361544539022,3.3917416235600375,0.05913294243247946,4.324038505554199,11,13,0.058920897153848274,27.54387830197811,176.27940368652344,0.9489634652076271,0.9306832779002323,0.9473179097792352,0,0,0,4618.248075851012,1000.636012591005,2987.3257322870013
G4,actor LR low,ppo_privilege_gru_0722_lr1_tkloff,20,20,True,0.3070980002081511,0.2152777777777778,-0.13799084327506067,0.08866215975931052,3.8942241139487463,4.747724553371145,0.005975181876929128,0.5998773574829102,1,3,0.03430908137629558,24.010746963322163,195.56263732910156,0.9351399714458795,0.9282825762317608,0.9202442871893634,0,320,320,1865.4716690230007,349.4496056459989,1041.7262589489997
G4,actor LR high,ppo_privilege_gru_0722_lr5_tkloff,20,20,True,0.3018578560870747,0.15827338129496402,-0.15080834802698967,0.14936107376092259,3.128778793555998,2.5464578712637382,0.05541386161668925,4.960463047027588,11,12,0.15950341423413192,52.341060258448124,298.2712707519531,0.9249300132148621,0.9122480291837732,0.8901370163545904,0,320,320,1831.1051549980002,346.58003862400074,1033.1869977720053
G5,clip 0.15 x 30U,ppo_privilege_gru_0722_long_clip015,30,30,True,0.27753282141778435,0.24647887323943662,-0.0799159507819092,-0.023600998671496787,3.7069724475073818,3.3050994824353572,0.03266876309353393,3.094435453414917,12,14,0.08768359160446076,34.611052960157394,296.24932861328125,0.9504502799407462,0.9446069798804855,0.9176855551286858,0,480,480,2813.442925021989,522.3459478360091,1557.4763871930008
G5,clip 0.20 x 30U,ppo_privilege_gru_0722_long_clip020,30,30,True,0.29151651291324054,0.20279720279720279,-0.11100323117402199,0.10561827489930775,3.6894423862482766,4.431858698887638,0.04991759287990134,3.832719564437866,15,16,0.05620914594534649,25.118241496384144,278.0511779785156,0.9059636928899524,0.9027370677362223,0.8732978575351854,0,480,480,2788.3224251709944,522.5310513540026,1558.8348593379997
G6,target-KL 0.02,ppo_privilege_gru_0722_clip015_tkl002,20,20,True,0.3152677887784624,0.28187919463087246,-0.1603841475291713,-0.08690676287751321,3.760177756432543,3.7597059722856945,0.00795679943473078,2.4268271923065186,6,6,0.05973229254766357,26.51826807260513,334.23883056640625,0.9173586960492012,0.8917841604567346,0.8797433996412425,11,206,320,4722.277526329998,678.0182637090022,3104.141596008999
G6,target-KL 0.04,ppo_privilege_gru_0722_clip015_tkl004,20,20,True,0.27337242969875136,0.27450980392156865,-0.055990596283941194,-0.0630508733046577,4.313426702566289,3.9999387524646908,0.01707427634220509,1.0506645441055298,6,6,0.1040903295809936,35.29091327637434,402.2187805175781,0.9066544820530256,0.9040083982344864,0.8871024389065013,12,203,320,1883.4016802629994,227.198810398997,1045.1753016069997
G7,clip 0.20 x 45U,ppo_privilege_gru_0722_long45_clip020,45,45,True,0.2669659577008812,0.19014084507042253,-0.051028399702010376,0.13264055016484644,3.8808660361073564,4.431365133596903,0.05011350625070918,3.832719564437866,23,24,0.056791773983544167,25.195780962705612,278.0511779785156,0.951260295419605,0.9468050201056651,0.9304445423174116,0,720,720,4254.017140555021,789.8987664099986,2358.2190543359975
G8,clip 0.25 x 45U,ppo_privilege_gru_0722_long45_clip025,45,45,True,0.29780927944785324,0.1773049645390071,-0.10911991872679207,0.19007919133319945,4.170936021832009,5.697567786219467,0.046125084972591136,2.4329986572265625,22,27,0.043135198750314886,25.84988847374916,254.43116760253906,0.9420408898430719,0.9354884543580615,0.9323761985423151,0,720,720,4199.41585918099,783.8009856629869,2338.07791539099
G9,hard-neighbor x 45U,ppo_privilege_gru_0722_long45_clip020_hard,45,45,True,0.2522135953975407,0.18571428571428572,0.00023881144874081847,0.17307388119223024,4.497251243479566,5.471284194147384,0.054213538340554805,2.739976644515991,23,24,0.054569877185066513,27.774913981556892,852.1771240234375,0.929177078953282,0.9177201716285799,0.9389775947947203,0,720,720,4232.793989059966,780.9390883430169,2332.8769883609784
