group,run,update,episode_rows,collision_role_episodes,ordinary_role_episodes,base_collision_source_episodes,boundary_collision_source_episodes,unknown_collision_source_episodes,base_source_realized_collision_rate,boundary_source_realized_collision_rate,ordinary_role_realized_collision_rate
G1,ppo_privilege_gru_0721_base,14,145,80,65,80,0,0,0.375,,0.03076923076923077
G1,ppo_privilege_gru_0721_base,15,151,85,66,85,0,0,0.5058823529411764,,0.045454545454545456
G1,ppo_privilege_gru_0721_base,16,151,86,65,86,0,0,0.45348837209302323,,0.046153846153846156
G1,ppo_privilege_gru_0721_base,17,138,73,65,73,0,0,0.3561643835616438,,0.015384615384615385
G1,ppo_privilege_gru_0721_base,18,148,84,64,84,0,0,0.39285714285714285,,0.03125
G1,ppo_privilege_gru_0721_base,19,148,82,66,82,0,0,0.5,,0.07575757575757576
G1,ppo_privilege_gru_0721_base,20,143,78,65,78,0,0,0.4230769230769231,,0.03076923076923077
G2,ppo_privilege_gru_0721_bs25600,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G2,ppo_privilege_gru_0721_bs25600,2,148,84,64,84,0,0,0.5119047619047619,,0.03125
G2,ppo_privilege_gru_0721_bs25600,3,151,86,65,86,0,0,0.4883720930232558,,0.03076923076923077
G2,ppo_privilege_gru_0721_bs25600,4,161,96,65,96,0,0,0.6770833333333334,,0.07692307692307693
G2,ppo_privilege_gru_0721_bs25600,5,152,88,64,88,0,0,0.625,,0.0
G2,ppo_privilege_gru_0721_bs25600,6,160,94,66,94,0,0,0.5638297872340425,,0.06060606060606061
G2,ppo_privilege_gru_0721_bs25600,7,149,85,64,85,0,0,0.5176470588235295,,0.03125
G2,ppo_privilege_gru_0721_bs25600,8,152,88,64,88,0,0,0.5568181818181818,,0.015625
G2,ppo_privilege_gru_0721_bs25600,9,149,83,66,83,0,0,0.46987951807228917,,0.045454545454545456
G2,ppo_privilege_gru_0721_bs25600,10,148,84,64,84,0,0,0.5357142857142857,,0.015625
G2,ppo_privilege_gru_0721_bs25600,11,152,88,64,88,0,0,0.5454545454545454,,0.03125
G2,ppo_privilege_gru_0721_bs25600,12,149,84,65,84,0,0,0.4642857142857143,,0.015384615384615385
G2,ppo_privilege_gru_0721_bs25600,13,144,79,65,79,0,0,0.5189873417721519,,0.046153846153846156
G2,ppo_privilege_gru_0721_bs25600,14,148,84,64,84,0,0,0.5119047619047619,,0.015625
G2,ppo_privilege_gru_0721_bs25600,15,151,86,65,86,0,0,0.5232558139534884,,0.06153846153846154
G2,ppo_privilege_gru_0721_bs25600,16,153,88,65,88,0,0,0.4659090909090909,,0.015384615384615385
G2,ppo_privilege_gru_0721_bs25600,17,143,77,66,77,0,0,0.4805194805194805,,0.045454545454545456
G2,ppo_privilege_gru_0721_bs25600,18,153,89,64,89,0,0,0.5280898876404494,,0.015625
G2,ppo_privilege_gru_0721_bs25600,19,156,89,67,89,0,0,0.5955056179775281,,0.08955223880597014
G2,ppo_privilege_gru_0721_bs25600,20,144,79,65,79,0,0,0.43037974683544306,,0.03076923076923077
G2,ppo_privilege_gru_0721_bs51200,1,159,94,65,94,0,0,0.5638297872340425,,0.015384615384615385
G2,ppo_privilege_gru_0721_bs51200,2,153,89,64,89,0,0,0.5393258426966292,,0.03125
G2,ppo_privilege_gru_0721_bs51200,3,157,93,64,93,0,0,0.6021505376344086,,0.078125
G2,ppo_privilege_gru_0721_bs51200,4,158,91,67,91,0,0,0.6043956043956044,,0.05970149253731343
G2,ppo_privilege_gru_0721_bs51200,5,151,87,64,87,0,0,0.5057471264367817,,0.015625
G2,ppo_privilege_gru_0721_bs51200,6,156,92,64,92,0,0,0.4891304347826087,,0.0625
G2,ppo_privilege_gru_0721_bs51200,7,147,83,64,83,0,0,0.46987951807228917,,0.015625
G2,ppo_privilege_gru_0721_bs51200,8,147,83,64,83,0,0,0.4457831325301205,,0.0
G2,ppo_privilege_gru_0721_bs51200,9,146,80,66,80,0,0,0.475,,0.030303030303030304
G2,ppo_privilege_gru_0721_bs51200,10,142,78,64,78,0,0,0.48717948717948717,,0.03125
G2,ppo_privilege_gru_0721_bs51200,11,153,89,64,89,0,0,0.5730337078651685,,0.015625
G2,ppo_privilege_gru_0721_bs51200,12,144,79,65,79,0,0,0.3670886075949367,,0.015384615384615385
G2,ppo_privilege_gru_0721_bs51200,13,151,85,66,85,0,0,0.4823529411764706,,0.045454545454545456
G2,ppo_privilege_gru_0721_bs51200,14,145,81,64,81,0,0,0.3950617283950617,,0.015625
G2,ppo_privilege_gru_0721_bs51200,15,148,84,64,84,0,0,0.5119047619047619,,0.0
G2,ppo_privilege_gru_0721_bs51200,16,150,85,65,85,0,0,0.4470588235294118,,0.046153846153846156
G2,ppo_privilege_gru_0721_bs51200,17,143,79,64,79,0,0,0.46835443037974683,,0.015625
G2,ppo_privilege_gru_0721_bs51200,18,149,85,64,85,0,0,0.47058823529411764,,0.03125
G2,ppo_privilege_gru_0721_bs51200,19,148,82,66,82,0,0,0.4146341463414634,,0.06060606060606061
G2,ppo_privilege_gru_0721_bs51200,20,145,81,64,81,0,0,0.41975308641975306,,0.015625
G3,ppo_privilege_gru_0721_clip010,1,152,87,65,87,0,0,0.5287356321839081,,0.015384615384615385
G3,ppo_privilege_gru_0721_clip010,2,157,93,64,93,0,0,0.5806451612903226,,0.03125
G3,ppo_privilege_gru_0721_clip010,3,157,92,65,92,0,0,0.5760869565217391,,0.06153846153846154
G3,ppo_privilege_gru_0721_clip010,4,151,87,64,87,0,0,0.5977011494252874,,0.046875
G3,ppo_privilege_gru_0721_clip010,5,153,89,64,89,0,0,0.5730337078651685,,0.046875
G3,ppo_privilege_gru_0721_clip010,6,166,100,66,100,0,0,0.6,,0.045454545454545456
G3,ppo_privilege_gru_0721_clip010,7,153,88,65,88,0,0,0.5909090909090909,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip010,8,151,86,65,86,0,0,0.47674418604651164,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip010,9,146,82,64,82,0,0,0.47560975609756095,,0.0
G3,ppo_privilege_gru_0721_clip010,10,145,81,64,81,0,0,0.49382716049382713,,0.0625
G3,ppo_privilege_gru_0721_clip010,11,160,96,64,96,0,0,0.6145833333333334,,0.015625
G3,ppo_privilege_gru_0721_clip010,12,160,94,66,94,0,0,0.5638297872340425,,0.045454545454545456
G3,ppo_privilege_gru_0721_clip010,13,149,82,67,82,0,0,0.4634146341463415,,0.1044776119402985
G3,ppo_privilege_gru_0721_clip010,14,149,83,66,83,0,0,0.4457831325301205,,0.030303030303030304
G3,ppo_privilege_gru_0721_clip010,15,151,86,65,86,0,0,0.5116279069767442,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip010,16,152,87,65,87,0,0,0.5057471264367817,,0.06153846153846154
G3,ppo_privilege_gru_0721_clip010,17,147,82,65,82,0,0,0.4146341463414634,,0.015384615384615385
G3,ppo_privilege_gru_0721_clip010,18,147,82,65,82,0,0,0.4878048780487805,,0.046153846153846156
G3,ppo_privilege_gru_0721_clip010,19,155,89,66,89,0,0,0.5056179775280899,,0.06060606060606061
G3,ppo_privilege_gru_0721_clip010,20,141,76,65,76,0,0,0.34210526315789475,,0.046153846153846156
G3,ppo_privilege_gru_0721_clip020,1,152,87,65,87,0,0,0.5287356321839081,,0.015384615384615385
G3,ppo_privilege_gru_0721_clip020,2,153,89,64,89,0,0,0.550561797752809,,0.03125
G3,ppo_privilege_gru_0721_clip020,3,153,89,64,89,0,0,0.6179775280898876,,0.03125
G3,ppo_privilege_gru_0721_clip020,4,159,93,66,93,0,0,0.6344086021505376,,0.06060606060606061
G3,ppo_privilege_gru_0721_clip020,5,155,91,64,91,0,0,0.5824175824175825,,0.015625
G3,ppo_privilege_gru_0721_clip020,6,149,85,64,85,0,0,0.4470588235294118,,0.03125
G3,ppo_privilege_gru_0721_clip020,7,144,79,65,79,0,0,0.379746835443038,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip020,8,148,84,64,84,0,0,0.42857142857142855,,0.03125
G3,ppo_privilege_gru_0721_clip020,9,139,75,64,75,0,0,0.32,,0.015625
G3,ppo_privilege_gru_0721_clip020,10,147,82,65,82,0,0,0.45121951219512196,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip020,11,148,83,65,83,0,0,0.4457831325301205,,0.03076923076923077
G3,ppo_privilege_gru_0721_clip020,12,150,85,65,85,0,0,0.4117647058823529,,0.06153846153846154
G3,ppo_privilege_gru_0721_clip020,13,148,82,66,82,0,0,0.4024390243902439,,0.10606060606060606
G3,ppo_privilege_gru_0721_clip020,14,146,81,65,81,0,0,0.41975308641975306,,0.046153846153846156
