run,update,panel,episode_rows,unique_scenarios,trace_files,collision_count,collision_rate,overtake_count,follow_count,success_count,success_rate,error_count,avg_speed_mean,speed_variance_mean,total_distance_mean,median_collision_time_s,mean_collision_time_s,initial_ego_collision_count,collision_with_opponent_count,steering_anomaly_episode_count,near_proximity_episode_count,aggregate_consistent,all_action_observation_finite,trace_keys_match_episode_keys,matches_bc_scenario_set,valid
ppo_privilege_gru_0722_lr5_tkloff,15,ppo_privilege_gru_0722_lr5_tkloff_u0015,600,600,600,26,0.043333333333333335,326,248,574,0.9566666666666667,0,5.233097347712786,1.5861548468451576,41.27750116669162,4.474999999999949,4.769999999999942,0,25,0,68,True,True,True,True,True
ppo_privilege_gru_0722_lr5_tkloff,20,ppo_privilege_gru_0722_lr5_tkloff_u0020,599,599,599,26,0.043333333333333335,318,255,573,0.955,1,5.196662768244517,1.5701495643905747,40.97024721994556,4.589999999999947,4.664615384615328,0,23,0,75,True,True,True,False,False
ppo_privilege_gru_0722_long_clip015,1,ppo_privilege_gru_0722_long_clip015_u0001,600,600,600,16,0.02666666666666667,350,234,584,0.9733333333333334,0,5.314574428441212,1.6303755635338972,42.155576656230195,4.954999999999939,4.718749999999942,0,16,0,64,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,5,ppo_privilege_gru_0722_long_clip015_u0005,600,600,600,18,0.03,343,239,582,0.97,0,5.291015611377014,1.6365640746188475,41.95729801408799,4.554999999999947,4.944999999999938,0,18,0,64,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,10,ppo_privilege_gru_0722_long_clip015_u0010,600,600,600,18,0.03,339,243,582,0.97,0,5.2642221096387445,1.6176891967006921,41.73521779758722,4.939999999999939,4.843888888888829,0,16,0,68,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,15,ppo_privilege_gru_0722_long_clip015_u0015,600,600,600,14,0.023333333333333334,349,237,586,0.9766666666666667,0,5.319068738051534,1.65221423046547,42.21012417664443,3.96999999999996,4.252857142857095,0,14,0,57,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,20,ppo_privilege_gru_0722_long_clip015_u0020,600,600,600,14,0.023333333333333334,349,237,586,0.9766666666666667,0,5.313707270509142,1.6438515420400606,42.21783953848144,4.5449999999999475,4.7242857142856565,0,14,0,61,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,25,ppo_privilege_gru_0722_long_clip015_u0025,600,600,600,17,0.028333333333333332,347,236,583,0.9716666666666667,0,5.290291785084468,1.6321703362242161,41.95399328559095,4.629999999999946,4.801764705882293,0,16,0,61,True,True,True,True,True
ppo_privilege_gru_0722_long_clip015,30,ppo_privilege_gru_0722_long_clip015_u0030,600,600,600,20,0.03333333333333333,335,245,580,0.9666666666666667,0,5.270163038921294,1.6144380456160965,41.80497193268809,5.589999999999925,5.443499999999927,0,19,0,61,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,1,ppo_privilege_gru_0722_long_clip020_u0001,600,600,600,21,0.035,343,236,579,0.965,0,5.286225961413623,1.6244958475480564,41.83287926051647,4.9199999999999395,4.771428571428513,0,20,0,72,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,5,ppo_privilege_gru_0722_long_clip020_u0005,600,600,600,18,0.03,347,235,582,0.97,0,5.325760500403969,1.661256308680324,42.170863158756774,4.354999999999952,4.520555555555502,0,16,0,60,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,10,ppo_privilege_gru_0722_long_clip020_u0010,600,600,600,16,0.02666666666666667,350,234,584,0.9733333333333334,0,5.329143929425054,1.6488647852777278,42.28370667484796,5.319999999999931,4.688749999999943,0,15,0,55,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,15,ppo_privilege_gru_0722_long_clip020_u0015,600,600,600,13,0.021666666666666667,349,238,587,0.9783333333333334,0,5.308087875930566,1.6086157993608003,42.182048443245904,4.809999999999942,4.631538461538406,0,12,0,58,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,20,ppo_privilege_gru_0722_long_clip020_u0020,600,600,600,13,0.021666666666666667,350,237,587,0.9783333333333334,0,5.31673618789406,1.5950536129469048,42.27086576093454,4.569999999999947,4.678461538461481,0,12,0,56,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,25,ppo_privilege_gru_0722_long_clip020_u0025,600,600,600,17,0.028333333333333332,352,231,583,0.9716666666666667,0,5.323978744029585,1.6148585825408583,42.27940181659342,5.599999999999925,5.047058823529348,0,15,0,52,True,True,True,True,True
ppo_privilege_gru_0722_long_clip020,30,ppo_privilege_gru_0722_long_clip020_u0030,600,600,600,11,0.018333333333333333,358,231,589,0.9816666666666667,0,5.374188020513502,1.678097372906974,42.82768476911375,6.069999999999915,5.375454545454473,0,11,0,51,True,True,True,True,True
