scenario_id,collision_panels,valid_ppo_panels,rate
evaluation-sp46-ego1967-raceline2-v0.6,3,68,0.04411764705882353
evaluation-sp2-ego85-raceline1-v0.5,3,68,0.04411764705882353
evaluation-sp25-ego1069-raceline1-v0.6,3,68,0.04411764705882353
evaluation-sp22-ego941-raceline0-v0.7,3,68,0.04411764705882353
evaluation-sp36-ego1539-raceline1-v0.7,3,68,0.04411764705882353
evaluation-sp9-ego384-raceline0-v0.6,3,68,0.04411764705882353
evaluation-sp16-ego684-raceline0-v0.7,3,68,0.04411764705882353
evaluation-sp5-ego213-raceline0-v0.8,3,68,0.04411764705882353
evaluation-sp46-ego1967-raceline0-v0.8,3,68,0.04411764705882353
evaluation-sp1-ego42-raceline1-v0.5,2,68,0.029411764705882353
evaluation-sp9-ego384-raceline2-v0.7,2,68,0.029411764705882353
evaluation-sp45-ego1924-raceline2-v0.5,2,68,0.029411764705882353
evaluation-sp4-ego171-raceline0-v0.5,2,68,0.029411764705882353
evaluation-sp22-ego941-raceline1-v0.5,2,68,0.029411764705882353
evaluation-sp17-ego727-raceline1-v0.8,2,68,0.029411764705882353
evaluation-sp43-ego1839-raceline2-v0.6,2,68,0.029411764705882353
evaluation-sp34-ego1454-raceline2-v0.7,2,68,0.029411764705882353
evaluation-sp5-ego213-raceline1-v0.7,2,68,0.029411764705882353
evaluation-sp46-ego1967-raceline2-v0.5,2,68,0.029411764705882353
evaluation-sp39-ego1668-raceline2-v0.7,2,68,0.029411764705882353
evaluation-sp39-ego1668-raceline2-v0.8,2,68,0.029411764705882353
evaluation-sp20-ego855-raceline1-v0.8,2,68,0.029411764705882353
evaluation-sp1-ego42-raceline2-v0.6,2,68,0.029411764705882353
evaluation-sp5-ego213-raceline2-v0.8,2,68,0.029411764705882353
evaluation-sp7-ego299-raceline2-v0.5,2,68,0.029411764705882353
evaluation-sp47-ego2010-raceline1-v0.7,2,68,0.029411764705882353
evaluation-sp15-ego641-raceline1-v0.6,2,68,0.029411764705882353
evaluation-sp31-ego1326-raceline1-v0.7,2,68,0.029411764705882353
evaluation-sp29-ego1240-raceline0-v0.7,2,68,0.029411764705882353
evaluation-sp28-ego1197-raceline0-v0.8,2,68,0.029411764705882353
evaluation-sp40-ego1711-raceline2-v0.8,2,68,0.029411764705882353
evaluation-sp14-ego598-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp18-ego769-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp7-ego299-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp22-ego941-raceline0-v0.8,1,68,0.014705882352941176
evaluation-sp21-ego898-raceline1-v0.5,1,68,0.014705882352941176
evaluation-sp24-ego1026-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp42-ego1796-raceline2-v0.7,1,68,0.014705882352941176
evaluation-sp11-ego470-raceline1-v0.5,1,68,0.014705882352941176
evaluation-sp42-ego1796-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp37-ego1582-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp23-ego983-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp36-ego1539-raceline2-v0.8,1,68,0.014705882352941176
evaluation-sp37-ego1582-raceline0-v0.5,1,68,0.014705882352941176
